,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1260,SHELLY MATERIALS PLANT #90 (0125042458),12,,http://echo.epa.gov/detailed-facility-report?fid=110004738115,39.916931,-83.007865
38091,SHELLY MATERIALS PLANT NO 62,12,,http://echo.epa.gov/detailed-facility-report?fid=110001628775,39.771082,-82.575102
38387,SHELLY MATERIALS PLANT #94,12,,http://echo.epa.gov/detailed-facility-report?fid=110004738614,39.98021,-82.7686
48029,SHELLY MATERIALS PLANT 63 (0145020323),12,,http://echo.epa.gov/detailed-facility-report?fid=110009653419,40.153569,-82.425455
52668,HAVERHILL CHEMICALS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110042073332,38.59167,-82.81944
40502,ARCELORMITTAL CLEVELAND LLC,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011945681,41.463486,-81.667828
3486,"DUKE ENERGY ZIMMER STATION, LLC",11,,http://echo.epa.gov/detailed-facility-report?fid=110000392860,38.866667,-84.22869
3845,HERITAGE-WTI INC,11,,http://echo.epa.gov/detailed-facility-report?fid=110027242320,40.631622,-80.54632
29446,TOLEDO REFINERY,11,,http://echo.epa.gov/detailed-facility-report?fid=110000384361,41.679167,-83.449722
5126,MARATHON PETROLEUM CANTON REFINERY,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000493555,40.7736,-81.4146
40495,TOLEDO REFINING CO,9,,http://echo.epa.gov/detailed-facility-report?fid=110010534261,41.6295,-83.4965
3311,CLEAN WATER LTD,7,,http://echo.epa.gov/detailed-facility-report?fid=110042041581,39.74158,-84.29332
27611,TIER ENVIRONMENTAL LLC DBA HUKILL ENVIRONMENTAL SERVICES,6,,http://echo.epa.gov/detailed-facility-report?fid=110000388232,41.373056,-81.530556
29931,PPG - TESLIN,6,,http://echo.epa.gov/detailed-facility-report?fid=110000388508,40.997313,-81.62000400000002
57987,CARGILL CORN PLANT,5,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000497034,39.82317000000001,-84.171791
27929,ERAMET MARIETTA METALLURGICAL PLANT,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000741966,39.372906,-81.523579
17779,SHELLY MATERIALS PORTABLE ASPHALT PLANT,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064845878,40.0145,-83.10167
47164,P.H. GLATFELTER CHILLICOTHE FACILITY,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000395117,39.325,-82.97444399999998
7585,LIMA REFINING CO,5,,http://echo.epa.gov/detailed-facility-report?fid=110000395475,40.720649,-84.122623
10918,DUPONT FORT HILL PLANT,5,,http://echo.epa.gov/detailed-facility-report?fid=110000392619,39.115278,-84.796111
