,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
52023,AUSTIN POWDER EMULSION,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000395242,39.252778,-82.420833
785,ROSEBUD MINING - KLM #7 MINE,13,,http://echo.epa.gov/detailed-facility-report?fid=110062673209,40.33277800000001,-40.260556
916,WOODVILLE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110020794461,41.45103,-83.34798
966,GAS LAND FOOD MART,13,,http://echo.epa.gov/detailed-facility-report?fid=110067370561,41.26535,-80.80171999999997
2179,SUNSET MHP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006260982,40.795567,-81.910696
3102,CONVOY WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006263952,40.92049,-84.69875
3668,REPUBLIC STEEL LORAIN PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110000385645,41.448518,-82.133082
5217,COLUMBIA MHP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006375653,41.387237,-81.90299499999998
6312,BUCKEYE EGG FARM L P  CROTON PULLET 1,13,,http://echo.epa.gov/detailed-facility-report?fid=110006304908,40.216169,-82.67128199999998
6413,FONDERLAC VLG CONDO ASSOC,13,,http://echo.epa.gov/detailed-facility-report?fid=110006234761,40.97261,-80.62876
6585,FARR HILL MHP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006343420,40.63195,-80.61889000000002
6958,OAK HARBOR WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006285144,41.5076,-83.1369
6972,OHIO FARMS PACKING CO,13,,http://echo.epa.gov/detailed-facility-report?fid=110006261838,40.982,-81.91914
7465,AREA AGGREGATES LLC  WOODVILLE SITE,13,,http://echo.epa.gov/detailed-facility-report?fid=110012523607,41.44038,-83.35731
7659,SMITHFIELD WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006660728,40.262914,-80.775521
8329,"ROTHENBUHLER CHEESEMAKERS, INC.-ROTHENBUHLER CHEESEMAKERS, INC.",13,,http://echo.epa.gov/detailed-facility-report?fid=110000385798,41.47924,-81.07851
8763,CARVEL MANOR M.H.P.,13,,http://echo.epa.gov/detailed-facility-report?fid=110067437054,83.03277800000002,-39.724167
9637,SHERWOOD WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009823254,41.28328,-84.540782
9746,BAZETTA CHRISTIAN CHURCH,13,,http://echo.epa.gov/detailed-facility-report?fid=110006235868,41.330742,-80.77945600000002
9865,WATERMILL INC.,13,,http://echo.epa.gov/detailed-facility-report?fid=110064517287,39.170842,-84.638649
