,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
3102,CONVOY WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006263952,40.92049,-84.69875
6958,OAK HARBOR WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006285144,41.5076,-83.1369
9637,SHERWOOD WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009823254,41.28328,-84.540782
11672,WILLSHIRE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009822736,40.74713,-84.79289
24274,COUNTRY MEADOWS MHP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006230970,41.33227,-84.42671999999997
44087,OHIO CITY WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010126755,40.7845,-84.7026
60350,FOREST VILLAGE,13,,http://echo.epa.gov/detailed-facility-report?fid=110006202732,40.80177,-83.51438
8079,CELINA WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110001934373,40.53626,-84.57817
8376,NEY VILLAGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110008634157,41.391452,-84.550237
17881,WILLSHIRE VILLAGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110006263587,40.74319000000001,-84.7973
22210,BUCKEYE EGG FARM MARSEILLES LA,12,,http://echo.epa.gov/detailed-facility-report?fid=110008057342,40.690108,-83.362225
33278,JUMPIN JIM'S,12,,http://echo.epa.gov/detailed-facility-report?fid=110024460929,40.63422,-83.60203
36225,DEFIANCE CO FKA GARDEN RIDGE NURSERY,12,,http://echo.epa.gov/detailed-facility-report?fid=110054099239,41.36199000000001,-84.36076
36618,FAYETTE WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110009823003,41.6826,-84.1931
53219,KUNKLE SCHOOLHOUSE,12,,http://echo.epa.gov/detailed-facility-report?fid=110006661077,41.63554,-84.49664
55086,BELMORE VILLAGE WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110069999652,41.153056,-83.943056
56134,MCGUFFEY STP,12,,http://echo.epa.gov/detailed-facility-report?fid=110006311339,40.69341,-83.78528
620,SYCAMORE WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110006700221,40.95268,-83.17493
17165,COLUMBUS GROVE WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110039721174,40.91912,-84.05659
25044,MONTPELIER WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110040039080,41.58333,-84.6242
