,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
52668,HAVERHILL CHEMICALS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110042073332,38.59167,-82.81944
3845,HERITAGE-WTI INC,11,,http://echo.epa.gov/detailed-facility-report?fid=110027242320,40.631622,-80.54632
27929,ERAMET MARIETTA METALLURGICAL PLANT,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000741966,39.372906,-81.523579
48980,OSCO INDUSTRIES INC JACKSON DIV,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000605471,39.057878,-82.636934
53487,"ALERIS ROLLED PRODUCTS, INC. (0679030152)",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000390862,40.36884000000001,-81.34657
6223,AMERICAN STANDARD INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110000389767,40.89613,-80.85679
7145,HAVERHILL COKE CO LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110054816703,38.5973,-82.8271
10936,SIDWELL MATERIALS SIMPLICITY 4520 PORTABLE SCREEN,2,,http://echo.epa.gov/detailed-facility-report?fid=110030491910,40.277278,-81.015254
13984,"WELL SITE SUPPLY, INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110061080538,39.34932,-81.55091999999998
29092,MARIETTA INDUSTRIAL ENTERPRISES,2,,http://echo.epa.gov/detailed-facility-report?fid=110064191468,39.347805,-81.553921
30131,"EAST BALT OHIO, LLC. (0660010244)",2,,http://echo.epa.gov/detailed-facility-report?fid=110013743654,39.9847,-81.9441
8826,BLACKSTONE ASPHALT INC (0640025002),1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063885345,39.09579,-82.48606
33203,SKYE METAL RECOVERY INC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056293309,39.348249,-81.55179
34726,COBRA PIPELINE - CHURCHTOWN COMPRESSOR STATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007384712,39.459722,-81.52305600000003
38065,AMG VANADIUM INC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000591583,39.9875,-81.56277800000002
600,TITANIUM METALS CORP,1,,http://echo.epa.gov/detailed-facility-report?fid=110000384940,40.44702,-80.61103
3907,NEW BAKERY OF OHIO INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110001630691,39.9512,-81.8913
4200,SHELLY LIQUID DIVISION,1,,http://echo.epa.gov/detailed-facility-report?fid=110006198676,38.85624,-82.14432
14380,INTERNATIONAL CONVERTER INC *,1,,http://echo.epa.gov/detailed-facility-report?fid=110006285894,39.73167,-81.52360999999998
14411,MARKWEST HUMPHREYS COMPRESSOR STATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110064025790,39.91231,-81.18933
