,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
6413,FONDERLAC VLG CONDO ASSOC,13,,http://echo.epa.gov/detailed-facility-report?fid=110006234761,40.97261,-80.62876
6585,FARR HILL MHP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006343420,40.63195,-80.61889000000002
7659,SMITHFIELD WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006660728,40.262914,-80.775521
15472,TORONTO WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110013397476,40.451482,-80.606272
16093,DTE DICKERSON LLC-GEORGETOWN PREP PLANT AREA,13,,http://echo.epa.gov/detailed-facility-report?fid=110041938375,40.211973,-80.965809
26182,MCGOLF REALTY LLC DBA THE LAKE CLUB,13,,http://echo.epa.gov/detailed-facility-report?fid=110006233879,40.96535,-80.62838
26959,HOPEDALE MINING - CADIZ PORTAL,13,,http://echo.epa.gov/detailed-facility-report?fid=110000384833,40.297167,-80.97606800000001
28106,ANDIS CONVENIENCE STORE,13,,http://echo.epa.gov/detailed-facility-report?fid=110006355309,40.79169,-80.62645
50421,RIDGELAND SUBDIV WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009822362,40.4627,-80.63518
55922,SALEM CITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110006342831,40.82082,-80.83946999999998
18310,SENECA LAKE CAMP AREA,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017747027,39.92964,-81.421511
11,HOPEDALE MINING LLC - PREPARATION PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000384968,40.342465,-80.91743199999998
258,THE PORT CAMPGROUND & DOCKS,12,,http://echo.epa.gov/detailed-facility-report?fid=110008643129,39.19154,-81.75771
5803,HOPEDALE WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110010127059,40.3098,-80.8868
7933,SUNRISE MHP,12,,http://echo.epa.gov/detailed-facility-report?fid=110006233101,40.63133,-80.6646
19242,TILTONSVILLE WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110008620705,40.20404,-80.66816
23461,CROSSRIDGE INC LANDFILL,12,,http://echo.epa.gov/detailed-facility-report?fid=110009821933,40.376873,-80.774691
24066,WARREN LSD - WARREN ELEMENTARY,12,,http://echo.epa.gov/detailed-facility-report?fid=110067372426,39.39285,-81.55391
29518,POMEROY WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110006700258,39.0302,-82.0255
36462,GREENFORD BOBCATS LLC WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110044245965,40.94457,-80.793509
