,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
6045,WETUMKA LANDFILL,13,6.0,http://echo.epa.gov/detailed-facility-report?fid=110022587235,35.248806,-96.235194
8436,CITY OF SALLISAW SOLID WASTE DISPOSAL FACILITY,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110011008587,35.415306,-94.816806
9148,BLUEJACKET WWT,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110039702532,36.806139,-95.067639
26902,CANDIAN PUBLIC WORKS AUTH,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110039738148,35.1737,-95.6517
17062,REFRESCO BEVERAGES,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006661193,35.78313,-95.23951
18913,"CHELSEA, TOWN OF",12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110011009078,36.5174,-95.42319
26270,OK FOODS - MULDROW,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000544894,35.409028,-94.582417
8801,WARNER UTILITIES AUTHORITY,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011007828,35.493167,-95.331806
22698,JOSHUA COAL CO.-METROPOLIS,12,,http://echo.epa.gov/detailed-facility-report?fid=110011013161,35.633889,-95.768611
30887,OK ST DEPT OF CORRECTIONS-HOWA,12,,http://echo.epa.gov/detailed-facility-report?fid=110009154869,34.162306,-95.822167
4169,JAY UTILITIES AUTHORITY,11,4.0,http://echo.epa.gov/detailed-facility-report?fid=110006644970,36.4265,-94.804917
1667,HEAVENER UTILITY AUTHORITY,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110010698067,34.870645,-94.593684
12737,MCALESTER PWA,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110037273321,34.994471999999995,-95.79475
19729,"EAGLE FAMILY FOODS GROUP, LLC",11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063981053,36.80495,-94.72519
14354,HASKELL PUB WORKS AUTH,11,,http://echo.epa.gov/detailed-facility-report?fid=110009154832,35.820944,-95.647361
22292,CLAYTON PWA,11,,http://echo.epa.gov/detailed-facility-report?fid=110011008337,34.575084000000004,-95.34683
28541,HUGO MUNICIPAL AUTHORITY,10,7.0,http://echo.epa.gov/detailed-facility-report?fid=110064606369,33.988417,-95.525778
6020,KEOTA PWA,10,5.0,http://echo.epa.gov/detailed-facility-report?fid=110011007855,35.26208300000001,-94.930139
25705,"HAILEYVILLE, CITY OF",10,5.0,http://echo.epa.gov/detailed-facility-report?fid=110011008239,34.857583,-95.582639
9587,TOWN OF VIAN / VIAN PWA,10,4.0,http://echo.epa.gov/detailed-facility-report?fid=110011009425,35.496861,-94.982556
