,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
9431,"GROVE BATTERY MANUFACTURING, LLC",5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064331842,36.598664,-94.731033
28217,SETCO INC,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013286880,33.883782000000004,-94.84369
5914,TRICAT INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110046424552,34.92546,-95.8254
877,US ARMY MCALESTER ARMY AMMUNITION PLANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110000455702,34.845,-95.893
8259,UNITED PARCEL SVC,2,,http://echo.epa.gov/detailed-facility-report?fid=110043554169,36.32512,-95.75469
15776,UNITED PARCEL SERVICE (MUSKOGEE),2,,http://echo.epa.gov/detailed-facility-report?fid=110004771818,35.76964500000001,-95.375221
31343,BALDOR ELECTRIC CO,2,,http://echo.epa.gov/detailed-facility-report?fid=110007730660,35.996873,-94.568212
1202,ISTI PLANT SERVICES,1,,http://echo.epa.gov/detailed-facility-report?fid=110064300572,36.232105,-95.7358
11055,ISTI PLANT SERVICES,1,,http://echo.epa.gov/detailed-facility-report?fid=110055419569,36.22406,-95.73631
20028,LMIA TULSA KITTING & DISTRIBUTION CTR,1,,http://echo.epa.gov/detailed-facility-report?fid=110043765725,36.228592,-95.746884
29362,CVS PHARMACY # 10275,1,,http://echo.epa.gov/detailed-facility-report?fid=110056333819,34.929246,-95.754829
3835,CHOCTAW MANUFACTURING AND DEFENSE CONTRACTORS,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009434166,34.89172,-95.77874
91,FATSO'S,0,,http://echo.epa.gov/detailed-facility-report?fid=110004753179,35.74096,-95.40256
334,"CAVENHAM FOREST INDUSTRIES, LLC",0,,http://echo.epa.gov/detailed-facility-report?fid=110000617903,35.46342999999999,-94.80989
397,WEATHERFORD ENTERRA,0,,http://echo.epa.gov/detailed-facility-report?fid=110004762409,34.91832,-95.28285
462,DIXON AND SONS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110004743118,36.62688,-95.13378
573,PRAXAIR CLAREMORE,0,,http://echo.epa.gov/detailed-facility-report?fid=110062923779,36.24425,-95.71552
770,PENCE TOWING SVC,0,,http://echo.epa.gov/detailed-facility-report?fid=110007734906,35.47794000000001,-94.79659
783,OKLAHOMA STATE UNIV INSTITUTE OF TECHNOLOGY,0,,http://echo.epa.gov/detailed-facility-report?fid=110007730900,35.6244,-95.94405
928,RIVER VALLEY GENERATING STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110056955460,35.1929,-94.6469
