REGISTRY_ID,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
110022580722,WEWOKA PUBLIC WORKS AUTHORITY,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110022580722,35.153971999999996,-96.477083
110011007463,CHOCTAW UTILITIES AUTHORITY,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110011007463,35.499056,-97.23944399999999
110009155001,"ABSOLUTE WASTE SOLUTIONS, INC.",11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009155001,35.216056,-96.96033299999999
110006617982,"EDMOND, CITY OF - COFFEE CREEK",11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006617982,35.673806,-97.385361
110064636443,WEWOKA WTP,10,3.0,http://echo.epa.gov/detailed-facility-report?fid=110064636443,35.165834999999994,-96.487022
110011008355,"MAUD, CITY OF",9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110011008355,35.123823,-96.787323
110009002088,JONES PWA,8,3.0,http://echo.epa.gov/detailed-facility-report?fid=110009002088,35.570778000000004,-97.280194
110011007123,HARRAH PWA,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011007123,35.473056,-97.14399999999999
110011009489,"KONAWA, CITY OF",8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011009489,34.960944,-96.743083
110045502666,"SANDRIDGE OFFSHORE, LLC",8,,http://echo.epa.gov/detailed-facility-report?fid=110045502666,35.4698,-97.51477
110018932672,CHAPARRAL ENERGY,8,,http://echo.epa.gov/detailed-facility-report?fid=110018932672,35.567190000000004,-97.49826999999999
110006698449,"BELGER CARTAGE SERVICE, INC.",8,,http://echo.epa.gov/detailed-facility-report?fid=110006698449,35.464383000000005,-97.586568
110039693043,OKC SOUTH CANADIAN WWT,7,6.0,http://echo.epa.gov/detailed-facility-report?fid=110039693043,35.46782,-97.52065
110000577199,BETHANY/WARR ACRES PWA,7,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000577199,35.667592,-97.599917
110011009559,"SPENCER, CITY OF",7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110011009559,35.538039000000005,-97.37353900000001
110020515012,OG AND E/HORSESHOE LAKE GENERATING STATION,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020515012,35.508340000000004,-97.17962
110002046376,OK CITY WTR UTIL TRST-DEER CK,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002046376,35.46782,-97.52065
110011007258,HOLLIDAY OUTT MHP,7,,http://echo.epa.gov/detailed-facility-report?fid=110011007258,35.473028,-97.669361
110032826066,BAR S FOODS CO,7,,http://echo.epa.gov/detailed-facility-report?fid=110032826066,35.261026,-96.661239
110006698494,OKLAHOMA CUSTOM COATING,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006698494,35.23925,-96.69555600000001
