,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
18223,COLLINS PRODUCTS,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000601527,42.170974,-121.826963
807,JELD-WEN KLAMATH FALLS,12,,http://echo.epa.gov/detailed-facility-report?fid=110067272061,42.2524,-121.8043
4311,SAPA EXTRUSIONS THE DALLES CAST HOUSE,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063630977,45.620919,-121.206139
709,CARESTREAM HEALTH,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000488623,42.434925,-122.882038
18181,TIMBER PRODUCTS CO. LIMITED PARTNERSHIP,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000488589,42.339181,-122.887874
3182,COLLINS PINE COMPANY,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110050813938,42.200452,-120.355568
13410,THREEMILE CANYON FARMS ANAEROBIC DIGESTER,2,,http://echo.epa.gov/detailed-facility-report?fid=110035771901,45.752923,-119.936836
14273,CLEAR PINE MOULDINGS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000488794,44.3121,-120.8485
5050,BRIGHT WOOD CORPORATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110001655254,44.662075,-121.136563
8063,BIOMASS ONE,1,,http://echo.epa.gov/detailed-facility-report?fid=110028049859,42.436539,-122.849261
15537,GTN PIPELINE COMPRESSOR STATION 10,1,,http://echo.epa.gov/detailed-facility-report?fid=110007169893,45.128799,-120.613297
4653,INTERFOR GILCHRIST DIVISION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001655414,43.476965,-121.696061
7728,ROSEBURG FOREST PRODUCTS MEDFORD,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000488561,42.34844,-122.89048
60,JELD-WEN,0,,http://echo.epa.gov/detailed-facility-report?fid=110001654601,44.08364,-121.29601
1351,LAMB WESTON BOARDMAN EAST FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110063157168,45.844317,-119.668922
1772,MAVERIK STORE #439,0,,http://echo.epa.gov/detailed-facility-report?fid=110055613732,44.78171,-117.82271
1987,BOISE CASCADE KINZUA LUMBER,0,,http://echo.epa.gov/detailed-facility-report?fid=110007738617,45.489487,-118.82971299999998
2084,PRAIRIE WOOD PRODUCTS AND CO-GEN FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001654852,44.456958,-118.720343
2578,MADRAS PUMPHOUSE,0,,http://echo.epa.gov/detailed-facility-report?fid=110018926000,44.64027,-121.12956
3270,MID COLUMBIA LUMBER,0,,http://echo.epa.gov/detailed-facility-report?fid=110000488776,44.52477,-121.21651
