,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
2353,USS - CLAIRTON PLANT,12,36.0,http://echo.epa.gov/detailed-facility-report?fid=110042043384,40.305088,-79.87691099999998
2973,MONROE ENERGY TRAINER REFINERY,12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110000336440,39.829311,-75.401169
39732,ERIE COKE CORP/ERIE PLT,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110060122219,42.14562100000001,-80.069238
47168,DELCORA-WESTERN REGIONAL TREATMENT PLANT,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110000547098,39.82553,-75.39399
59427,ARCELORMITTAL MONESSEN COKE PLANT,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110000329118,40.1632,-79.8861
66910,LEHIGH CEMENT EVANSVILLE PLT & QUARRY,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000338073,40.472471,-75.89524499999997
297,KEYSTONE CEMENT CO,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000584332,40.7159,-75.3985
34387,ARCHBALD POWER STA,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001085646,41.4844,-75.5403
36486,PPG INDUSTRIES CARLISLE PLANT WORKS  6,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000878863,40.12921,-77.16726
51056,UNITED REFINING COMPANY,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043815690,41.82949,-79.12468
72170,CURRY RAIL SVC INC/HOLLIDAYSBURG,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110067426921,40.428611,-78.378056
75263,AMERICAN REFINING GROUP INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000332220,41.965472,-78.633108
78244,NATURES BLEND WOOD PROD/FORD CITY,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001045789,40.7691,-79.53631
71808,COVANTA PLYMOUTH RENEWABLE ENERGY/ PLYMOUTH,11,8.0,http://echo.epa.gov/detailed-facility-report?fid=110002478765,40.09584,-75.31056
34406,SUNOCO - MARCUS HOOK REFINERY,11,5.0,http://echo.epa.gov/detailed-facility-report?fid=110032885723,39.814609,-75.42227
20879,MONTGOMERY CHEM LTD/CONSHOHOCKEN,11,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000925492,40.086408,-75.314992
31737,NORTHAMPTON GENERATING PLANT,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006623396,40.691957,-75.479887
28805,PQ CORPORATION,10,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000878881,39.840401,-75.37236800000002
51787,PHILA ENERGY SOL REF/ PES,10,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000336994,39.9147,-75.2005
73647,ARDAGH GLASS INC,10,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000332275,41.81787,-78.28699
