,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
47168,DELCORA-WESTERN REGIONAL TREATMENT PLANT,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110000547098,39.82553,-75.39399
28805,PQ CORPORATION,10,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000878881,39.840401,-75.37236800000002
51787,PHILA ENERGY SOL REF/ PES,10,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000336994,39.9147,-75.2005
67007,KIMBERLY-CLARK PENNSYLVANIA L LC,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000603847,39.84341,-75.36069
17198,KINDER MORGAN LIQUIDS TERM/PHILA,6,7.0,http://echo.epa.gov/detailed-facility-report?fid=110001203448,39.97874,-75.09763000000002
84905,EDDYSTONE GENERATING STATION,5,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000817493,39.8588,-75.3236
41358,TEMPLE UNIVERSITY MAIN CAMPUS FACILITIES,3,4.0,http://echo.epa.gov/detailed-facility-report?fid=110001223104,39.979354,-75.15101700000002
13328,SUNOCO PARTNERS MKT & TERM FT MIFFLIN TERM,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110012692407,39.871389,-75.2175
13887,COVANTA DELAWARE VALLEY LP/DELAWARE VALLEY RES REC,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001065016,39.8275,-75.38728
17787,ADVANSIX INC,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110038495768,40.003289,-75.069937
5767,PHILA INTL AIRPORT/PHILA,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110007027289,39.875624,-75.245164
17412,HCP INC/PHIL,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070666752,39.949685,-75.154413
65492,PBF LOGISTICS PRODUCTS TERMINAL/67TH ST,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110002065997,39.911701,-75.218773
74536,INOLEX CHEMICAL CO,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000584797,39.92012,-75.14641
1133,COMMUNITY LIGHT & SOUND INC (DBA COMMUNITY PROF LOUDSPKR),2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000336565,39.852169,-75.354897
62974,PHILA PRISON SYS/CORR FAC,2,,http://echo.epa.gov/detailed-facility-report?fid=110041235865,40.031275,-75.021765
726,MIPC G STREET TERMINAL,1,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000872299,40.014179,-75.111553
28552,WUXI APP TEC INC,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110067418351,39.89475,-75.16775200000002
17627,MERCY FITZGERALD HOSP/DARBY,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001087074,39.92651,-75.26798000000002
32377,US MINT/PHILA,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110041225251,39.95396,-75.14789
