,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
70832,STANDARD STEEL-BURNHAM PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000332471,40.636944,-77.57194399999999
6421,SANOFI PASTEUR - DISCOVERY DRIVE WIDENING PROJECT,13,,http://echo.epa.gov/detailed-facility-report?fid=110070067161,41.090833,-75.322222
17430,POCONO PLATEAU CAMP-TREATMENT BUILDING,13,,http://echo.epa.gov/detailed-facility-report?fid=110053892980,41.23332,-75.3077
21906,ACADEMY II SENIOR HOUSING,13,,http://echo.epa.gov/detailed-facility-report?fid=110070051146,41.33687000000001,-75.52069
37889,MT POCONO MUN AUTH,13,,http://echo.epa.gov/detailed-facility-report?fid=110010973928,41.1232,-75.3577
77280,PINE FOREST CAMP STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010977265,41.411881,-75.014349
81055,MONTROSE BORO - WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010970556,41.82306,-75.8821
85069,BUCK HILL INN,13,,http://echo.epa.gov/detailed-facility-report?fid=110069994783,41.188889,-75.266389
42893,DELAWARE VALLEY LANDSCAPE STON,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110022288852,41.776188,-75.902419
84740,DEARS MOBILE HOME PARK,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110060149058,41.95315,-77.08909
2888,RIDGE VALLEY FARM II SNYDER CNTY,12,,http://echo.epa.gov/detailed-facility-report?fid=110043572354,40.733941,-77.28103399999998
28705,SPRINGBROOK TWP SEW AUTH,12,,http://echo.epa.gov/detailed-facility-report?fid=110010970011,41.34455,-75.59909
36361,FERRYBOAT CAMPSITES,12,,http://echo.epa.gov/detailed-facility-report?fid=110009816431,40.54368,-76.98268
44649,NEW ALBANY BORO SEWERAGE STP SYSTEM,12,,http://echo.epa.gov/detailed-facility-report?fid=110010811586,41.605631,-76.441608
66390,WINFIELD FEED MILL,12,,http://echo.epa.gov/detailed-facility-report?fid=110000584252,40.90814500000001,-76.853914
75716,PENN ESTATES UTILITIES INCORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000939977,41.043334,-75.217106
85019,LANDISBURG STP,12,,http://echo.epa.gov/detailed-facility-report?fid=110010967891,40.343056,-77.313611
84035,ROBERT BOYLES SWINE FARM,11,3.0,http://echo.epa.gov/detailed-facility-report?fid=110013341785,41.358958,-76.473632
68398,CASCADES TISSUE GROUP PA INC RANSOM MILL,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000584555,41.390278,-75.821846
50290,NEWPORT BORO WATER AUTH,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000949680,40.475556,-77.126667
