,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
32249,MAX ENVIRONMENTAL - YUKON FACILITY,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110039581592,40.2121,-79.6976
41897,EASTMAN CHEMICAL COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000583057,40.265833,-79.901111
59177,ANDERSON FITTINGS,12,,http://echo.epa.gov/detailed-facility-report?fid=110041992430,39.72277800000001,-80.261667
714,ATOMIZED MATERIALS CO INC,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000329911,40.33827,-80.17343000000002
59621,FAMILY DOLLAR STORE NO 5046,7,,http://echo.epa.gov/detailed-facility-report?fid=110063587060,39.89652,-80.18958
53812,IDLEWILD PARK STP,6,,http://echo.epa.gov/detailed-facility-report?fid=110001033630,40.26141,-79.285853
12870,AMETEK SPECIALTY METAL PROD DIV,5,,http://echo.epa.gov/detailed-facility-report?fid=110006116700,40.196693,-80.133478
67682,BONOLA PA FAC,5,,http://echo.epa.gov/detailed-facility-report?fid=110000603357,40.236815,-79.96079
59156,FAMILY DOLLAR STORE NO 1356,4,,http://echo.epa.gov/detailed-facility-report?fid=110060314146,40.17576,-80.24328
79986,CVS PHARMACY #5094,3,,http://echo.epa.gov/detailed-facility-report?fid=110046539064,40.38247,-80.05233
2147,HOME DEPOT 4117,2,,http://echo.epa.gov/detailed-facility-report?fid=110031292884,40.45091,-80.1825
5171,MEYER FRANK C PKG,2,,http://echo.epa.gov/detailed-facility-report?fid=110007339184,40.326126,-79.611046
6259,SUBURBAN DRY CLEANERS,1,,http://echo.epa.gov/detailed-facility-report?fid=110001011770,40.35766,-80.11031
8509,ELLIOTT CO/JEANNETTE,1,,http://echo.epa.gov/detailed-facility-report?fid=110001139269,40.3372,-79.60799
9346,ABB INC PRODUCT SUPPORT,1,,http://echo.epa.gov/detailed-facility-report?fid=110039015464,40.274583,-79.55185
10075,WAL MART STORE NO 5040,1,,http://echo.epa.gov/detailed-facility-report?fid=110021077403,40.38438,-80.09315
12969,PRECISION METAL CRAFTERS LTD,1,,http://echo.epa.gov/detailed-facility-report?fid=110016713494,40.28117,-79.54765
23073,METAL FINISHING IND,1,,http://echo.epa.gov/detailed-facility-report?fid=110037442443,40.286393,-79.56971800000002
23993,ABB POWER CIRCUT BREAKER,1,,http://echo.epa.gov/detailed-facility-report?fid=110002445845,40.33478,-79.71803
28810,WESTMORELAND CLEANERS,1,,http://echo.epa.gov/detailed-facility-report?fid=110001078182,40.308878,-79.537246
