,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
6551,VERTEDERO MUNICIPAL TOA BAJA,8,,http://echo.epa.gov/detailed-facility-report?fid=110043704523,18.43576,-66.19164
8634,"CEMEX DE PUERTO RICO, INC.",8,,http://echo.epa.gov/detailed-facility-report?fid=110022868413,18.02305,-66.63888
1573,HIMA (HOSPITAL INTERAMERICANO MED AVAN),5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011542330,18.24955,-66.03678000000001
132,GR WASHER DRY CLEANING,1,,http://echo.epa.gov/detailed-facility-report?fid=110062739069,18.252013,-66.03657
2381,ARECIBO MUNICIPAL SOLID WASTE LANDFILL,1,,http://echo.epa.gov/detailed-facility-report?fid=110017614269,18.466542,-66.625644
4175,BETTEROADS ASPHALT PLT 11,1,,http://echo.epa.gov/detailed-facility-report?fid=110007812929,18.191606,-66.300173
4213,TOA ALTA MUNICIPAL LANDFILL (VERTEDERO MUNICIPAL),1,,http://echo.epa.gov/detailed-facility-report?fid=110040514397,18.370711,-66.26392
6831,BORINQUEN CONTAINER,1,,http://echo.epa.gov/detailed-facility-report?fid=110002085350,18.480556,-66.80888900000001
139,ABBVIE LTD,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007806188,18.433237,-66.570509
205,SISTEMA DE RELLENO SANITARIO DE JUNCOS,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069993223,18.247186,-65.908683
596,"CARIBBEAN LINEN TEX CARE, CORP",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110067428652,18.421533,-66.068731
1575,BETTEROADS ASPHALT PLT HUMACAO,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054313989,18.161,-65.8434
3967,ENCANTADA SERVICE CENTER DRY CLEANERS,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015306630,18.371466,-66.017162
8144,ALEX FRENCH CLEANERS,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015306667,18.412997,-66.09095400000001
8784,JR QUALITY METAL CORP,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110059663608,18.364333,-66.213615
16,VX PRESS CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110070083489,18.124157,-66.158372
18,VA CARIBBEAN HEALTHCARE SYSTEM,0,,http://echo.epa.gov/detailed-facility-report?fid=110037608283,18.38993,-66.07879
64,FORD MOTOR CO CARIBBEAN INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110010637560,18.377678,-65.894931
71,FAMILY CLEANERS (ANTES NEW WAY CLEANERS),0,,http://echo.epa.gov/detailed-facility-report?fid=110007175252,18.40143,-66.049868
102,"GE INDUSTRIAL OF PR, LLC (CARIBE GE)",0,,http://echo.epa.gov/detailed-facility-report?fid=110007807150,18.075485,-67.025987
