,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
2154,PRASA BARCELONETA STP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006622609,18.479411,-66.54518900000001
4911,MAYAGUEZ REGIONAL WASTEWATER TREATMENT PLANT,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000906814,18.248432,-67.155454
6181,PRASA GUAYAMA REGIONAL WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009700476,17.950162,-66.141225
8253,PRASA - FAJARDO REGIONAL WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110017849293,18.301817,-65.66349100000001
36,NEGROS-COROZAL FILTRATION PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009814996,18.332195,-66.33102
161,ANTILLEAN ADVENTIST UNIVERSITY WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064611479,18.207667,-67.11627800000001
189,AGUAS BUENAS WASTEWATER TREATMENT PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007803840,18.258864000000006,-66.101851
230,PRASA BARANQUITAS WTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013696508,18.216367,-66.316298
240,MOROVIS SUR FILTRATION PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009002756,18.308778,-66.406972
314,COTO LAUREL-PONCE FILTRATION PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000577652,18.048471,-66.557816
330,PRASA COMERIO WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006622681,18.2425,-66.20611099999999
340,PRASA MAL PASO WTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064597182,18.092167,-66.757972
377,PRASA GUAYANILLA WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013696269,18.014129,-66.785022
553,PRASA FRONTON,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013695741,18.300906,-66.537454
566,PRASA JAGUA PASTO FILTER PLNT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009814610,18.097713,-66.792671
625,PRASA VILLALBA WTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013696394,18.10996,-66.514895
668,PRASA WTP JUNCOS,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009815076,18.244699,-65.849905
761,PRASA - CAROLINA STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007817041,18.436389,-65.88556
820,PRASA WTP LARES,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010583804,18.187553,-66.851986
846,MAUNABO STP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009815414,18.00601,-65.902723
