,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
435,CITY OF PROVIDENCE,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110004916486,41.79486,-71.39792
854,WARWICK STORM SEWER SYSTEM,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043481470,41.698944,-71.45837
1351,NORTH PROVIDENCE (TOWNWIDE COLLECTION SYSTEM),13,,http://echo.epa.gov/detailed-facility-report?fid=110032592433,41.85726,-71.48354
5971,HIDDEN MEADOWS,13,,http://echo.epa.gov/detailed-facility-report?fid=110064627783,41.99731,-71.38684
7615,SIMS METAL MANAGEMENT,13,,http://echo.epa.gov/detailed-facility-report?fid=110009444306,41.806944,-71.402778
8005,TOWN OF JOHNSTON,13,,http://echo.epa.gov/detailed-facility-report?fid=110064282814,41.86771,-71.50501
2805,TOWN OF CUMBERLAND,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110037101622,41.90049000000001,-71.39081
1137,OKONITE WIRE & CABLE,11,,http://echo.epa.gov/detailed-facility-report?fid=110000312439,41.928144,-71.42795600000002
1885,CONSOLIDATED CONCRETE,11,,http://echo.epa.gov/detailed-facility-report?fid=110009441577,41.82305,-71.34816
1899,WESTERLY WASTEWATER TREATMENT FACILITY,11,,http://echo.epa.gov/detailed-facility-report?fid=110009439722,41.360945,-71.835385
3580,DEAN WAREHOUSE SERVICES,11,,http://echo.epa.gov/detailed-facility-report?fid=110042394487,41.92711,-71.42952
4061,T F GREEN AIRPORT,11,,http://echo.epa.gov/detailed-facility-report?fid=110037945016,41.7273,-71.43856
6610,"SAINT 23, LLC",11,,http://echo.epa.gov/detailed-facility-report?fid=110067432601,41.816667,-71.7375
3218,CNTRL LANDFILL RESOURCE RECOVERY PLANT,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110007019190,41.808331,-71.534719
5323,TWIN OAKS RESTAURANT,10,,http://echo.epa.gov/detailed-facility-report?fid=110022468293,41.78921,-71.44008000000002
4827,BRISTOL WASTEWATER TREATMENT FACILITY,9,3.0,http://echo.epa.gov/detailed-facility-report?fid=110009444869,41.661599,-71.264893
2286,CRANSTON WATER POLLUTION CONTROL FACILITY,9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000735713,41.7526,-71.4425
5511,ELEANOR SLATER HOSPITAL - ZAMBARANO UNIT,9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110004920872,41.997056,-71.76166500000002
4974,APPONAUG CIRCULAR IMPROVEMENT PROJECT,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110059710843,41.6985,-71.4621
379,INTERSTATE I-195 CONTRACT 16,9,,http://echo.epa.gov/detailed-facility-report?fid=110070054265,41.820875,-71.416896
