,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
318,SAGE AUTOMOTIVE INTERIORS - ABBEVILLE PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000354330,34.167221999999995,-82.37138900000002
1486,CLINTON/JOANNA WASTEWATER TREATMENT PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110000708413,34.391110999999995,-81.810833
4110,OWT INDUSTRIES,13,,http://echo.epa.gov/detailed-facility-report?fid=110001667688,34.89182,-82.69696
5979,HARBOR GATE CONDOMINIUMS,13,,http://echo.epa.gov/detailed-facility-report?fid=110009704551,34.51,-82.655
8590,COMBINED UTILITY SYSTEM,13,,http://echo.epa.gov/detailed-facility-report?fid=110002310311,34.844722,-82.588611
10944,EDGEFIELD CO WTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110039518377,33.56619,-82.02691
11163,NINETY SIX WASTE WATER TREATMENT FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110008973539,34.155278,-81.983611
12181,MILLIKEN MCCORMICK,13,,http://echo.epa.gov/detailed-facility-report?fid=110001674867,33.908333,-82.281944
12471,MICHELIN NA INC - SANDY SPRINGS,13,,http://echo.epa.gov/detailed-facility-report?fid=110014402315,34.601667,-82.768889
13793,BLUE GRANITE WATER COMPANY CHAMBERT FOREST SD WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009794222,34.45,-82.716667
18187,PICKENS CO-LIBERTY ROPER WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110002186866,34.802778,-82.703611
7279,CLEMSON UNIVERSITY WWTF,12,,http://echo.epa.gov/detailed-facility-report?fid=110042037319,34.672676,-82.84635899999998
7386,WALHALLA CONEROSS CREEK WTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110039518037,34.724416,-83.07623000000002
7994,MIDDLE BRANCH WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000559645,34.783611,-82.534444
8316,KINDER MORGAN SOUTHEAST TERMINALS BELTON 1,12,,http://echo.epa.gov/detailed-facility-report?fid=110040509544,34.55686,-82.493792
9774,ZF TRANSMISSIONS,12,,http://echo.epa.gov/detailed-facility-report?fid=110043325700,34.649359999999994,-82.15706999999998
18152,FEDERAL PACIFIC ELEC ODELL DAM,12,,http://echo.epa.gov/detailed-facility-report?fid=110002311551,33.773514,-81.904873
483,CALHOUN FALLS TOWN OF,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110002178429,34.081944,-82.586111
8134,MCCORMICK CPW WWTP,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017301551,33.916667,-82.266667
12463,WEST ALEXANDER WWTP,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000710133,34.193333,-82.158333
