,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
4410,DUKE ENERGY OCONEE NUCLEAR STATION,10,,http://echo.epa.gov/detailed-facility-report?fid=110008561449,34.793333000000004,-82.90083299999998
1100,PALMETTO PLATING CO INC,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007838386,34.82927100000001,-82.566399
3748,STUEKEN LLC,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001673984,34.6896,-82.2393
12341,VALMONT COMPOSITE STRUCTURES NEWBERRY,4,,http://echo.epa.gov/detailed-facility-report?fid=110064114738,34.317104,-81.634547
3264,CLEMSON TECHNICAL CENTER,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000857500,34.58614,-82.81841
4832,BAYER SOUTHEAST DISTRIBUTION CENTER,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000879522,34.705321000000005,-82.23388100000003
10321,MITA SOUTH CAROLINA INCORPORATED,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000354526,34.70026,-82.2379
16385,FRAZOR QUALITY WOODWORKS INC,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037442997,34.8622,-82.67981
16830,PALMETTO PLATING COMPANY,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002191798,34.82832,-82.60934
19235,ASHLAND PERFORMANCE MATERIALS,3,,http://echo.epa.gov/detailed-facility-report?fid=110002234617,34.72611,-82.446667
4571,AARON INDUSTRIES,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043532549,34.444202000000004,-81.888734
9804,BURNSTEIN PRECISION CASTING,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007833522,34.16383,-82.40205
13578,GREENWOOD RENTAL CENTER LLC,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043192504,34.1673,-82.15023000000002
15216,SELF MEMORIAL HOSPITAL,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007023309,34.174690000000005,-82.15719
673,FLAME SPRAY NORTH AMERICA INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110043976819,34.66538,-82.19470600000002
1587,WALMART SUPERCENTER 631,2,,http://echo.epa.gov/detailed-facility-report?fid=110044992666,34.826454,-82.54872900000002
3800,CERAMTEC NORTH AMERICA,2,,http://echo.epa.gov/detailed-facility-report?fid=110000353180,34.52555,-82.04491
7072,TARGET STORE 1198,2,,http://echo.epa.gov/detailed-facility-report?fid=110044992942,34.55165,-82.67785
7403,INDUSTRIAL MAINTENENCE & SERVICES OF BELTON INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110070122758,34.52705,-82.48501
9563,WILBERT PLASTIC SERVICES,2,,http://echo.epa.gov/detailed-facility-report?fid=110000604436,34.811440000000005,-82.64869
