,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
23387,SHELL OIL COMPANY DEER PARK REFINERY,12,19.0,http://echo.epa.gov/detailed-facility-report?fid=110031267064,29.722222,-95.126944
35314,ATOFINA PETROCHEMICALS INCORPORATED,12,14.0,http://echo.epa.gov/detailed-facility-report?fid=110000755200,29.957935,-93.897484
3599,SRW COGENERATION LIMITED,12,10.0,http://echo.epa.gov/detailed-facility-report?fid=110021082576,30.05523,-93.75777
72982,SABINE RIVER OPERATIONS,12,10.0,http://echo.epa.gov/detailed-facility-report?fid=110017746368,30.054796000000003,-93.753863
598,MOTIVA - PORT ARTHUR REFINERY,12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110000464024,29.883333,-93.958333
7560,EQUISTAR CHEMICALS,12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110000463212,29.8308,-95.1164
21965,"EQUISTAR CHEMICAL, LP",12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110070287860,29.8338,-95.12755
22957,EXXONMOBIL REFINING & SUPPLY BAYTOWN REFINERY,12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110000502901,29.739444,-95.006944
52641,EXXONMOBIL BEAUMONT REFINERY,12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110041990913,30.065833,-94.071388
77382,EQUISTAR CHEMICALS LP,12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110034641635,29.717471000000003,-95.068008
102319,GALVESTON BAY REFINERY,12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110059763536,29.374444,-94.925
22015,TPC GROUP,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110000504801,29.964146000000003,-93.930138
59384,BORGER REFINERY,12,7.0,http://echo.epa.gov/detailed-facility-report?fid=110042005843,35.703056,-101.36305
23305,FLINT HILLS RESOURCES PORT ARTHUR LLC,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110000861862,29.892778000000003,-93.973333
48196,BASF FINA PETROCHEMICALS,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110006134691,29.951649,-93.887272
62715,ENTERPRISE PRODUCTS MONT BELVIEU COMPLEX,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110056961480,29.857573,-94.912893
64846,OWENS CORNING INSULATING SYSTEMS WAXAHACHIE PLANT,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110000457087,32.44126,-96.85039
74372,ISP SYNTHETIC ELASTOMERS LP,12,6.0,http://echo.epa.gov/detailed-facility-report?fid=110020515735,29.987664,-93.944972
22012,VALERO MCKEE REFINERY,12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000465719,35.951944,-101.873889
54315,EXXONMOBIL CHEMICAL CO BAYTOWN OLEFINS PLANT (PART),12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000463169,29.756256,-95.011032
