,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
6337,NORIT AMERICAS INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000458406,32.535981,-94.399072
35205,EAST TEXAS GAS PLANT,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000502858,32.187876,-94.261875
57878,FLINT HILLS RESOURCES POLYMERS LLC LONGVIEW FACILITY,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000861835,32.433611,-94.711389
1974,LUFKIN GENERATING PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110060333553,31.36603,-94.74555
2074,DELEK REFINING LTD,12,,http://echo.epa.gov/detailed-facility-report?fid=110000458488,32.362643,-95.280179
22055,TRAWICK CENTRAL TREATING STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110007204275,31.78833,-94.76139
32075,MARTIN LAKE STEAM ELECTRIC STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110043787220,32.259653,-94.570331
38470,HAINESVILLE GAS PROCESSING PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110007193759,32.70528,-95.358063
72308,WESTLAKE LONGVIEW,12,,http://echo.epa.gov/detailed-facility-report?fid=110031019822,32.439278,-94.688436
98846,PERMIAN TANK & MANUFACTURING INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110024420624,32.35408,-94.86865
99070,AEP KNOX LEE POWER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110031507322,32.37676,-94.63972
105325,TYLER PIPE CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110000598933,32.434349,-95.377205
67367,TENASKA GATEWAY GENERATING STATION,9,,http://echo.epa.gov/detailed-facility-report?fid=110010661667,32.0176,-94.6194
96118,FLOWERS BAKING COMPANY OF TYLER,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001879209,32.35064000000001,-95.31375
110714,LONGVIEW GAS PLANT,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110007196550,32.5038,-94.8669
17536,EASTMAN CHEMICAL - TEXAS OPERATIONS,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000743704,32.438056,-94.69
36083,BECKVILLE COMPRESSOR STATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037976955,32.221667,-94.433611
44462,PATTERSON WOOD PRODUCTS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063966917,31.61987,-94.68352
101276,STATION 388,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007199637,32.59444000000001,-94.664436
113089,GENERAL CABLE INDUSTRIES MARSHALL PLANT,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000598915,32.521135,-94.23094
