,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
3955,MEADOWLAND UTILITY WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009773799,29.469389000000003,-95.269639
8280,EXXONMOBIL CORPORATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110011276298,29.5813,-95.19389
84984,US RV PARK WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110035258155,29.558888,-95.689444
1504,SOUTH HOUSTON CONCRETE PIPE,12,,http://echo.epa.gov/detailed-facility-report?fid=110045690347,29.62685,-95.18369
15172,GULF COAST CONCRETE AND SHELL,12,,http://echo.epa.gov/detailed-facility-report?fid=110030771092,29.5648,-95.70699
52503,IPC SYNOTT ROAD FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110017692754,29.66693,-95.61746
58852,WALSH ROAD OPERATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110038198438,29.53685,-95.83899
63482,CITY OF MANVEL WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110009772022,29.47372,-95.3703
71514,FLEXICORE OF TEXAS,12,,http://echo.epa.gov/detailed-facility-report?fid=110012802725,29.58158,-95.43325
80689,CINCO SOUTHWEST WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110012293829,29.705139000000006,-95.811306
83161,FULSHEAR READY MIX CONCRETE,12,,http://echo.epa.gov/detailed-facility-report?fid=110070100266,29.71735,-95.92168
95208,ROSEMEADOWS III - WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110010920557,29.400762,-95.791567
96816,WILLOW MANOR MOBILE HOME PARK,12,,http://echo.epa.gov/detailed-facility-report?fid=110007206102,29.53063,-95.41674
32429,PLANT 1,11,,http://echo.epa.gov/detailed-facility-report?fid=110070031017,29.5454,-95.76316
57307,GRAND MISSION MUD 1  WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110064608606,29.689944,-95.723833
64499,N C PIPE,11,,http://echo.epa.gov/detailed-facility-report?fid=110037924333,29.39708,-95.83526
88554,SAGEMONT WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110006620870,29.598594,-95.207773
93824,INEOS USA LLC - CHOCOLATE BAYOU PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110000606933,29.413774,-95.263726
6667,FT BEND CO MUD 58 WWTF,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110055045525,29.738528,-95.828833
64684,CITY OF RICHMOND SOUTH WWTP,10,,http://echo.epa.gov/detailed-facility-report?fid=110030995127,29.545128,-95.719004
