,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
40511,BAYER HOUSTON PLANT,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000461116,29.69628,-95.26291
9507,NORTHGATE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110002042085,29.947458,-95.402183
60247,GREENWOOD VILLAGE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009746123,29.87517,-95.34078
79839,CHRISTIAN TABERNACLE OF HOUSTON WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110034390638,29.80675,-95.20775
84981,EASTHAVEN WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110010923304,29.64322,-95.26425
15836,WILBERT VAULTS OF HOUSTON,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110032826921,29.86908,-95.35087
7271,THE HEAVENS MHP WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110009746668,29.899882,-95.354966
30964,AMERIFORGE CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110005181356,29.75336,-95.18593
86505,PORT TERMINAL FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110009747514,29.72302,-95.262456
92362,IMPERIAL VALLEY WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000914306,29.92777,-95.39374
94286,INTEGRITY READY MIX SITE,12,,http://echo.epa.gov/detailed-facility-report?fid=110067572996,29.884651,-95.351524
111960,MARTIN ASPHALT-SOUTH HOUSTON,12,,http://echo.epa.gov/detailed-facility-report?fid=110001867677,29.66201,-95.23151
97255,BROWN & ROOT INCORPORATED GREENS BAYOU FABRICATION YARD,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000460938,29.74787,-95.17985
14226,R & S CONCRETE,11,,http://echo.epa.gov/detailed-facility-report?fid=110012294739,29.927057,-95.363791
37708,SU-REGIONAL WWTF PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110000762568,29.792631,-95.159911
39280,KOA HOUSTON CENTRAL WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110006686899,29.920434000000004,-95.360225
45240,ZINC DUST DIVISION,11,,http://echo.epa.gov/detailed-facility-report?fid=110000495125,29.74633,-95.31147
67102,CLINTON PARK WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110034309380,29.736354,-95.266901
90660,PL PROPYLENE,11,,http://echo.epa.gov/detailed-facility-report?fid=110000461107,29.706248,-95.251079
95259,HARRIS COUNTY WCID 111 WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110010923411,29.687771,-95.302041
