,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
79014,CHEM PRUF DOOR,12,,http://echo.epa.gov/detailed-facility-report?fid=110008060757,25.945811,-97.439031
65276,THOMASTON COMPRESSOR STATION,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110015744426,29.011111,-97.145
81502,EXXONMOBIL PRODUCTION - KING RANCH GAS PLANT,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000727580,27.468056,-98.055833
93042,AIR CURTAIN INCINERATOR JIM WELLS PCT 1,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064844913,27.739456,-98.081672
896,BOOTHE AMINE PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110033436618,29.219722,-97.161944
1062,HARLINGEN REFINED PRODUCTS TERMINAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110000599843,26.20231,-97.601941
1074,PRIDE DRY CLEANING,0,,http://echo.epa.gov/detailed-facility-report?fid=110001876499,26.18967,-97.68039
1177,STRATTON COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110007203007,27.59,-97.895279
3242,VAL-TEX ASPHALT COMPANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110007770064,26.18659,-97.75826
6115,RIO GRANDE COTTON OIL MILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110000465229,26.21144,-97.721166
7373,CITY OF KINGSVILLE LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110034271080,27.44517,-97.81573
9295,BALES MOLD SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110017867254,26.19591,-97.71143
10170,GOLIAD GAS PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110064844977,28.61893,-97.641796
10323,COMET 1 HR DRY CLEANING,0,,http://echo.epa.gov/detailed-facility-report?fid=110034688452,26.1909,-97.69051
11525,LYFORD GIN ASSOCIATION ELEVATOR,0,,http://echo.epa.gov/detailed-facility-report?fid=110015709401,26.414738,-97.79118
14979,BEEVILLE COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110006128993,28.3897,-97.51725
18017,TRANSMONTAIGNE SOUTHWEST TERMINAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110007194883,25.94704,-97.422
19409,SAENZ DRY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001876827,25.90393,-97.4985
20064,SILAS RAY POWER PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110007194847,25.913503,-97.521961
22351,BROWNSVILLE COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110070520747,25.989535,-97.359572
