,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
23823,DIXIE IRON WORKS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005144101,27.750125,-98.079992
22707,KNIGHT OIL TOOLS OILFIELD SERVICE,12,,http://echo.epa.gov/detailed-facility-report?fid=110067678506,27.739524,-98.034464
79014,CHEM PRUF DOOR,12,,http://echo.epa.gov/detailed-facility-report?fid=110008060757,25.945811,-97.439031
71500,AUSTIN STAR DETONATOR,7,,http://echo.epa.gov/detailed-facility-report?fid=110005182257,25.97417,-97.3862
91120,THE MAN SHOP CLEANERS AND TUXEDO RENTALS,4,,http://echo.epa.gov/detailed-facility-report?fid=110033157857,27.50904,-97.85603
12022,NATIONAL ELECTRIC COIL,2,,http://echo.epa.gov/detailed-facility-report?fid=110000465176,25.91556,-97.47499
67203,COASTAL CHEMICAL,2,,http://echo.epa.gov/detailed-facility-report?fid=110043694758,27.777140000000006,-97.94174
17260,US NAVY NAVAL AIR STATION KINGSVILLE,1,,http://echo.epa.gov/detailed-facility-report?fid=110002047115,27.5035,-97.797972
77827,TRICO PRODUCTS BILLY MITCHELL SITE,1,,http://echo.epa.gov/detailed-facility-report?fid=110000465185,25.910833,-97.439444
80878,PENTAIR VALVES & CONTROLS,1,,http://echo.epa.gov/detailed-facility-report?fid=110000465210,26.191419,-97.61862
89990,ENERGY DYNAMICS,1,,http://echo.epa.gov/detailed-facility-report?fid=110005041221,27.75113,-98.07976
30720,"SELECT CHEMICALS, LTD.",0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110059674295,28.988817,-97.489395
1062,HARLINGEN REFINED PRODUCTS TERMINAL,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000599843,26.20231,-97.601941
70,TRACTOR SUPPLY #1370,0,,http://echo.epa.gov/detailed-facility-report?fid=110040354531,27.49373,-97.85585
1987,CVS PHARMACY 10667,0,,http://echo.epa.gov/detailed-facility-report?fid=110069458125,26.481898,-97.782438
2526,WAL-MART SUPERCENTER 0456,0,,http://echo.epa.gov/detailed-facility-report?fid=110035098943,25.97759,-97.52101
2748,FAMILY DOLLAR #5401,0,,http://echo.epa.gov/detailed-facility-report?fid=110064014542,26.183894,-98.123766
2767,FAMILY DOLLAR #7722,0,,http://echo.epa.gov/detailed-facility-report?fid=110064386301,28.034371000000004,-97.51655
2934,SERVICIOS AMBIENTALES INTERNACIONALES S DE RL DE C,0,,http://echo.epa.gov/detailed-facility-report?fid=110012183671,26.085741,-97.164104
3862,ITD PRECISION,0,,http://echo.epa.gov/detailed-facility-report?fid=110033858458,26.19591,-97.71143
