,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
13304,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000469136,40.886022,-111.904759
15317,U.S. MAGNESIUM PLANT,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110045587352,40.915581,-112.734253
665,WIND RIVER RESOURCES CORP-NORTH HILL CS,12,,http://echo.epa.gov/detailed-facility-report?fid=110027234990,39.541452,-109.665055
4282,QUESTAR - ISLAND COMPRESSOR,12,,http://echo.epa.gov/detailed-facility-report?fid=110022482259,39.9598,-109.717
6647,CHEVRON SALT LAKE REFINERY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000469485,40.8249,-111.9238
7604,BIG WEST OIL FLYING J REFINERY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000468921,40.838386,-111.921443
10692,"MPLX LP - COYOTE WASH COMPRESSOR (FORMALLY ANDEAVOR, QEP, TESORO)",12,,http://echo.epa.gov/detailed-facility-report?fid=110043969373,40.038389,-109.441333
18425,QUESTAR  GAS MANAGEMENT COMPANY- WONSITS VALLEY COMPRESSOR STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110015772966,40.14,-109.494
983,GREAT SALT LAKE MINERALS CORP,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000469920,41.27017,-112.22377
1015,UNIVERSITY OF UTAH,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001880894,40.61981,-111.82363
1036,TOOELE ARMY DEPOT: TOOELE ARMY DEPOT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013864078,40.526461,-112.410368
4797,LISBON PLANT  (CCI PARADOX MIDSTREAM),0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008176785,38.163259,-109.276478
14149,CLEAN HARBORS ARAGONITE LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000906985,40.7344,-112.9681
5,APC	35024912 - 71951,0,,http://echo.epa.gov/detailed-facility-report?fid=110070380045,40.030979,-109.591402
19,CRESCENT POINT ENERGY	ULT 6-26-3-1E,0,,http://echo.epa.gov/detailed-facility-report?fid=110070380011,40.19484600000001,-109.852461
35,VALLEY METALS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110030921162,41.734587,-111.859677
36,ADVANCED FOAM PLASTICS,0,,http://echo.epa.gov/detailed-facility-report?fid=110033180947,40.67799,-111.89483
43,GRAYMONT WESTERN US INCORPORATED- CRICKET MOUNTAIN PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110008061239,38.938951,-112.816647
49,ANADARKO- BITTER CREEK CS,0,,http://echo.epa.gov/detailed-facility-report?fid=110038454213,39.934303,-109.485314
123,NEWFIELD EXPLORATION	STATE 2-36-8-15,0,,http://echo.epa.gov/detailed-facility-report?fid=110070380157,40.08035,-110.178
