,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1015,UNIVERSITY OF UTAH,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001880894,40.61981,-111.82363
4797,LISBON PLANT  (CCI PARADOX MIDSTREAM),0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008176785,38.163259,-109.276478
146,BRIGHAM YOUNG UNIVERSITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001881429,40.247222,-111.646388
692,"WESTERN METALS RECYCLING, LLC",0,,http://echo.epa.gov/detailed-facility-report?fid=110039141915,40.224608,-111.662254
888,PAYSON CITY SHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110001881606,40.044843,-111.714019
1470,WHITEWATER WHIRLPOOL BATHS & SYSTEMS,0,,http://echo.epa.gov/detailed-facility-report?fid=110039623360,40.333885,-111.738705
1946,MOBIL OIL COMPANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110007198353,37.3009,-109.06242
2131,IM FLASH TECHNOLOGIES LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110056968376,40.42916500000001,-111.823859
2405,RESOLUTE NATURAL RESOURCES COMPANY - ANETH CENTRAL GAS PROCESSING PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110043816993,37.29836,-109.26358
2474,NORTHWEST PIPELINE - CISCO,0,,http://echo.epa.gov/detailed-facility-report?fid=110001882473,38.931667,-109.351388
2923,A-TOP ENTERPRISES INC.,0,,http://echo.epa.gov/detailed-facility-report?fid=110001886086,40.323704,-111.706673
3832,WHITE MESA URANIUM MILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110000879425,37.570833,-109.478056
3893,SPRINGVILLE CITY CORP.,0,,http://echo.epa.gov/detailed-facility-report?fid=110064222023,40.17832,-111.61988
4299,MEADOW GOLD DAIRIES OREM,0,,http://echo.epa.gov/detailed-facility-report?fid=110000562356,40.279917,-111.687639
4685,SUNNYSIDE COGENERATION ASSOCIATES,0,,http://echo.epa.gov/detailed-facility-report?fid=110000470008,39.54764,-110.39079
4817,EAST CARBON DEVELOPMENT COMPANY ENVIRONMENTAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110000911960,39.540246,-110.43179
5288,NORTHWEST PIPELINE - MOAB STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110007186883,38.327153,-109.429966
5652,HEBER LIGHT AND POWER COMPANY- POWER PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110002272406,40.5039,-111.42542
6398,PACIFICORP ENERGY HUNTINGTON PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110020101922,39.381462,-111.080089
6982,CHEVRON - TEXACO (RATHERFORD),0,,http://echo.epa.gov/detailed-facility-report?fid=110031504003,37.246389,-109.286111
