,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
7590,MARY WASHINGTON HOSPITAL,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005256677,38.311563,-77.480687
18930,A C FURNITURE CO,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005250673,36.64856,-79.66436999999998
31279,INDMAR COATINGS CORPORATION,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020746512,36.967828,-76.989734
3987,LYNCHBURG STEEL & SPECIALTY CO INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110020670870,37.50769,-79.12133
7748,PENTAGON RESERVATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110063002236,38.870855,-77.055745
8092,NSA HR - NORTHWEST ANNEX,12,,http://echo.epa.gov/detailed-facility-report?fid=110012835281,36.567814,-76.24874799999998
9286,KTI MAINTENANCE SHOP #1,12,,http://echo.epa.gov/detailed-facility-report?fid=110070801599,37.04885,-80.77743000000002
11296,HENRICO DOCTORS HOSPITAL - FOREST CAMPUS,12,,http://echo.epa.gov/detailed-facility-report?fid=110013955354,37.60363,-77.53773000000002
17964,KTI MAINTENANCE SHOP #2,12,,http://echo.epa.gov/detailed-facility-report?fid=110070801600,37.048486,-80.77148299999998
21461,HENKEL-HARRIS CO INC - PAPERMILL RD,12,,http://echo.epa.gov/detailed-facility-report?fid=110000869481,39.14559000000001,-78.17998
34083,DYNAX AMERICA CORP USA,12,,http://echo.epa.gov/detailed-facility-report?fid=110064119387,37.344974,-79.870047
19326,VIRGINIA HOSPITAL CENTER - ARLINGTON,11,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001891579,38.88945,-77.12875
30602,FTG CIRCUITS FREDERICKSBURG,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000340961,38.36212,-77.52068
20910,AERCCOM INC,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110067425771,37.57616,-77.46967
17748,BUDGET SIGNS,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070541323,37.29938,-79.94065
28299,JOHN RANDOLPH HOSPITAL,10,,http://echo.epa.gov/detailed-facility-report?fid=110001892658,37.30702,-77.29148
4380,POTOMAC SUPPLY LLC,9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000341005,38.02433,-76.59135
10518,SOUTHERN FINISHING,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000869837,36.690586,-79.85453000000003
17531,HARLAND JOHN H CO,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008180930,37.50374,-77.59772
20797,SOUTHERN FINISHING COMPANY,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110044995217,36.697408,-79.893501
