,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
9219,HAYMARKET EVERGREEN CENTER,12,,http://echo.epa.gov/detailed-facility-report?fid=110070597822,38.87981,-77.63384
12420,MCFARLAND AND SMITH MULTIPLE RESIDENCE,12,,http://echo.epa.gov/detailed-facility-report?fid=110070596708,39.20401,-78.3178
18866,LAKE JACKSON GROUP HOME,12,,http://echo.epa.gov/detailed-facility-report?fid=110070602331,38.73516,-77.45335
27581,SETTLE/PEACOE MULTIPLE RESIDENCE,12,,http://echo.epa.gov/detailed-facility-report?fid=110070603789,39.22269,-78.08792
3582,LOVETTSVILLE TOWN WASTEWATER TREATMENT FACILITY,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010916429,39.28172,-77.64911
5287,NORTH SPRING BEHAVIORAL HEALTHCARE WWTP,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010914207,39.14566,-77.54639
33896,CHANTILLY PLACE,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070600642,38.92657,-77.51138
3142,JENKINS MULTIPLE RESIDENCE,9,,http://echo.epa.gov/detailed-facility-report?fid=110070603221,39.07489,-78.16989000000002
4387,WINCHESTER AND WESTERN RAILROAD GORE MAINT BLDG,9,,http://echo.epa.gov/detailed-facility-report?fid=110070602055,39.263702,-78.330353
12399,BUCKLAND VILLAGE,9,,http://echo.epa.gov/detailed-facility-report?fid=110070600266,38.779505,-77.677717
14517,TRI-STATE EXXON,9,,http://echo.epa.gov/detailed-facility-report?fid=110032616220,39.31975,-77.71304
14521,ANDERSON/SMITH MULTIPLE RESIDENCE,9,,http://echo.epa.gov/detailed-facility-report?fid=110070603554,39.19603,-78.24761
17304,BRUNER PROPERTY,9,,http://echo.epa.gov/detailed-facility-report?fid=110070599722,38.90691,-77.62926999999998
21979,SANDYS MOBILE HOME COURT (MHC) LLC STP,9,,http://echo.epa.gov/detailed-facility-report?fid=110010912842,39.06438,-78.14803
23501,J AND J CORNER STORE,9,,http://echo.epa.gov/detailed-facility-report?fid=110070548492,39.13131,-77.91358000000002
26635,FOREBACK MULTIPLE RESIDENCE,9,,http://echo.epa.gov/detailed-facility-report?fid=110070600420,39.03014,-78.18869000000002
26698,BULL RUN RESTAURANT,9,,http://echo.epa.gov/detailed-facility-report?fid=110070602881,38.805612,-77.577033
28646,PROSPECT HILL SPRINGS WTP,9,,http://echo.epa.gov/detailed-facility-report?fid=110015314319,39.08713,-78.0335
28873,EASTERN VIEW LIMITED LIABILITY COMPANY,9,,http://echo.epa.gov/detailed-facility-report?fid=110070598912,38.845113,-77.54919
28945,CROOKED RUN STP,9,,http://echo.epa.gov/detailed-facility-report?fid=110010913734,39.037509,-78.159239
