,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
5065,CORESITE RESTON CAMPUS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070361655,38.94928,-77.37378000000002
24597,"BUCKEYE TANK TERMINALS, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110000340792,38.84781,-77.27795
601,NAVY FEDERAL CREDIT UNION - FOLLIN LANE,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039135405,38.90328,-77.24540999999998
2777,MICHIGAN COGENERATION SYSTEMS INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110047450995,38.689435,-77.23820500000002
31,FAIRFAX VILLA ELEMENTARY SCHOOL,0,,http://echo.epa.gov/detailed-facility-report?fid=110001898590,38.83887,-77.32261
121,NANCY SPRAGUE TECHNOLOGY CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110030493534,38.82664000000001,-77.23489000000002
305,SHENDOAH PRIDE DAIRY,0,,http://echo.epa.gov/detailed-facility-report?fid=110000340863,38.80628,-77.21649000000002
319,CENTRAL INTELLIGENCE AGENCY,0,,http://echo.epa.gov/detailed-facility-report?fid=110020679407,38.93055,-77.22057
365,FEATHERSTONE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002342974,38.636393,-77.26964
387,ELDEN STREET CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001913181,38.96958,-77.38705999999998
456,BURKE ROYAL CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001901513,38.79458,-77.27251
510,MARUMSCO CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110020673813,38.60859,-77.29141
511,SEARS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001892328,38.86665,-77.15181
638,H L MOONEY WATER RECLAMATION FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001887860,38.61623,-77.26961
803,WEST SPRINGFIELD ELEMENTARY SCHOOL,0,,http://echo.epa.gov/detailed-facility-report?fid=110001892015,38.7698,-77.21893
868,TYSONS OFFICE CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110001897957,38.91564,-77.22721
870,SERV-ALL CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001908259,38.860173,-77.30261899999998
964,BAILEYS ELEMENTARY SCHOOL,0,,http://echo.epa.gov/detailed-facility-report?fid=110021435491,38.85262,-77.1447
1026,FAIRFAX CLEANERS A - CENTREVILLE SQUARE,0,,http://echo.epa.gov/detailed-facility-report?fid=110008191875,38.83755,-77.44008000000002
1085,OKAY AUTO BODY INCORPORATED,0,,http://echo.epa.gov/detailed-facility-report?fid=110005229804,38.64364000000001,-77.26524
