,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
18737,TRAE FUELS LTD,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043570944,37.96041,-77.77755
20118,INGENCO - ROCKVILLE PLANT,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006825579,37.70388,-77.66423
7954,ZAMMA CORPORATION,3,3.0,http://echo.epa.gov/detailed-facility-report?fid=110013671320,38.2012,-78.12631999999998
34227,DOSWELL ENERGY CENTER,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017409286,37.820051,-77.446205
9327,COLORTREE GROUP,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110018897773,37.631083,-77.468952
9719,POWERSCREEN MID ATLANTIC INC - PORTABLE 52792,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069428284,37.719017,-77.467516
21299,TE CONNECTIVITY ROCHESTER WIRE & CABLE,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000341256,38.47905,-77.98369
180,ATLANTIC CONTRACTING AND MATERIAL CO INC - PORTABLE 52669,0,,http://echo.epa.gov/detailed-facility-report?fid=110070144507,37.719017,-77.467516
253,PRINCESS CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001900587,37.76104,-77.4919
304,"EQUINIX, LLC - CU 1-4",0,,http://echo.epa.gov/detailed-facility-report?fid=110033142454,38.456463,-77.97820899999998
335,RICHMOND NEWSPAPERS INCORPORATED - HANOVER,0,,http://echo.epa.gov/detailed-facility-report?fid=110020684981,37.63878,-77.40224
349,CENTRAL VIRGINIA HEALTH NETWORK,0,,http://echo.epa.gov/detailed-facility-report?fid=110021037457,37.594974,-77.48749000000002
494,BON SECOURS - ST FRANCIS MEDICAL CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110027235285,37.46576500000001,-77.65906
538,THE RICHMOND CREMATORY,0,,http://echo.epa.gov/detailed-facility-report?fid=110013338272,37.580973,-77.48642199999998
545,VIRGINIA CONCRETE COMPANY INC - SPOTSYLVANIA,0,,http://echo.epa.gov/detailed-facility-report?fid=110001911110,38.215421,-77.5431
614,HENRICO COUNTY DEPARTMENT OF PUBLIC WORK,0,,http://echo.epa.gov/detailed-facility-report?fid=110041353790,37.658023,-77.491224
886,"BINNS, FLOYD T ELEMENTARY SCHOOL",0,,http://echo.epa.gov/detailed-facility-report?fid=110007324412,38.48568,-77.98983
1045,INTERNATIONAL MISSION BOARD,0,,http://echo.epa.gov/detailed-facility-report?fid=110007345480,37.56768,-77.48306
1064,REA ALGONQUIN HANOVER MANUFACTURING PLAN,0,,http://echo.epa.gov/detailed-facility-report?fid=110005239768,37.69497,-77.44663
1132,VCU ANIMAL RESOURCES,0,,http://echo.epa.gov/detailed-facility-report?fid=110001894228,37.7389,-77.4503
