,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
777,COSMO SPECIALTY FIBERS PLANT,13,7.0,http://echo.epa.gov/detailed-facility-report?fid=110000490709,46.953543,-123.761737
19338,WEST POINT WWTP,13,7.0,http://echo.epa.gov/detailed-facility-report?fid=110000563523,47.663487,-122.427318
30951,SEATTLE IRON METALS CORP,13,6.0,http://echo.epa.gov/detailed-facility-report?fid=110005396936,47.538333,-122.326772
31946,BUCKHORN MOUNTAIN MINE,13,5.0,http://echo.epa.gov/detailed-facility-report?fid=110032827145,48.949506,-118.98159
7671,FLEISCHMANNS VINEGAR COMPANY,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110002150617,47.209808,-122.239738
32477,PORT TOWNSEND PAPER MILL,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000490326,48.093793,-122.796806
35696,LINK LIGHT RAIL OMF EAST,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110070105781,47.619717,-122.183434
629,GEORGIA PACIFIC CAMAS MILL,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000564586,45.582929,-122.407758
3360,ALPINE GLADES SUBDIVISION,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110067184889,48.291469,-117.549363
6382,FERNDALE READY MIX & GRAVEL LYNDEN,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006685499,48.91963,-122.48728
7733,KENNEWICK WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110040118388,46.208883,-119.100026
12394,PULLMAN MOSCOW REGIONAL AIRPORT 3200,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110067358763,46.739265,-117.127502
17645,ENDICOTT STP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110040115522,46.930672,-117.691854
19737,BELLINGHAM POST POINT WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110061176016,48.717831,-122.513963
21553,ONALASKA WOOD ENERGY,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110064390403,46.571632,-122.734973
23195,RIVERSIDE PARK WATER RECLAMATION FACILITY,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000562347,47.695191,-117.473588
29489,PORT OF LONGVIEW,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005323756,46.108236,-122.947311
29671,AMERICOLD LYNDEN 2340,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000575672,48.946829,-122.45041299999998
32214,YAKIMA REGIONAL WASTEWATER FACILITY,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009513160,46.579403000000006,-120.46983
33954,PORT OF OLYMPIA,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110015551847,47.05611,-122.904999
