,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
9467,TREOIL INDUSTRIES,12,,http://echo.epa.gov/detailed-facility-report?fid=110015569062,48.879393,-122.710644
19215,IDD AEROSPACE CORPORATION,4,,http://echo.epa.gov/detailed-facility-report?fid=110000843339,47.671561,-122.097459
19329,BELLINGHAM TECHNICAL COLLEGE,4,,http://echo.epa.gov/detailed-facility-report?fid=110005319609,48.7655,-122.51315
26906,CHERRY POINT REFINERY,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000490157,48.88399999999999,-122.735
10664,"FLOWBUILT MANUFACTURING FACILITY, LLC",3,,http://echo.epa.gov/detailed-facility-report?fid=110070491289,48.83835,-122.58071
11036,HUSKY PRE-HUNG DOORS INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110002058371,48.003928,-122.109462
32918,STRASSER WOODENWORKS,3,,http://echo.epa.gov/detailed-facility-report?fid=110023166900,47.771407,-122.149279
32922,SONOSITE INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110012562351,47.80054000000001,-122.19546
33201,KENMORE AIR HARBOR,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005311992,47.757084000000006,-122.257903
3501,LABELS WEST,2,,http://echo.epa.gov/detailed-facility-report?fid=110000828524,47.75571,-122.16624
5820,THE OESER COMPANY,2,,http://echo.epa.gov/detailed-facility-report?fid=110000490031,48.77027800000001,-122.514444
7822,CEPHEID,2,,http://echo.epa.gov/detailed-facility-report?fid=110005330418,47.799681,-122.210391
12003,SEATTLE GENETICS,2,,http://echo.epa.gov/detailed-facility-report?fid=110012561913,47.80031,-122.19288600000002
13089,INSPECTORATE AMERICA CORPORATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110070245262,48.81788,-122.55929
13160,CASCADE DAFO,2,,http://echo.epa.gov/detailed-facility-report?fid=110046591648,48.82257,-122.55677
14275,WELLINGTON HILLS BUSINESS CAMPUS,2,,http://echo.epa.gov/detailed-facility-report?fid=110056116117,47.780491,-122.143925
14366,MONROE STATE CORRECTIONAL COMPLEX,2,,http://echo.epa.gov/detailed-facility-report?fid=110015582038,47.8468,-121.999
18086,ERSHIGS,2,,http://echo.epa.gov/detailed-facility-report?fid=110000490022,48.768895,-122.519272
18805,PROTOTRON CIRCUITS,2,,http://echo.epa.gov/detailed-facility-report?fid=110002449495,47.684798,-122.136826
19035,SKAGIT VALLEY COLLEGE,2,,http://echo.epa.gov/detailed-facility-report?fid=110000843311,48.437565,-122.309595
