,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
33311,AQUATIC BATHWARE,1,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000490754,46.948746,-122.598109
24075,CROWN BEVERAGE PACKAGING,0,7.0,http://echo.epa.gov/detailed-facility-report?fid=110000490638,47.038056,-122.845
17680,BELLMONT CABINET COMPANY,0,4.0,http://echo.epa.gov/detailed-facility-report?fid=110024827124,47.210116,-122.248832
8793,WOODWORTH & COMPANY,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110016685194,47.212072,-122.232903
21906,INSULFOAM,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054183913,47.076181,-122.351469
35712,MANKE LUMBER / SUPERIOR WOOD TREATING,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000490371,47.246596,-122.24454
37088,WILLIAM DICKSON CO,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022573446,47.215451,-122.39078
644,SONOCO PRODUCTS COMPANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110002041923,47.211588,-122.239643
804,RANDLES TOPSOIL & GRAVEL,0,,http://echo.epa.gov/detailed-facility-report?fid=110015550955,47.082813,-122.35848
1576,BOEING COMPANY FREDERICKSON,0,,http://echo.epa.gov/detailed-facility-report?fid=110015575215,47.086549,-122.346851
2415,SIERRA PACIFIC INDUSTRIES SHELTON,0,,http://echo.epa.gov/detailed-facility-report?fid=110067420222,47.211727,-123.095584
2894,TUCCI & SONS MCCHORD PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110015543679,47.1563,-122.469
3944,DELTA PAINTING AND PREREFINISHING,0,,http://echo.epa.gov/detailed-facility-report?fid=110001917043,47.167175,-122.491557
4518,GEORGIA PACIFIC CORRUGATED LLC OLYMPIA,0,,http://echo.epa.gov/detailed-facility-report?fid=110005321473,47.037968,-122.848122
6030,DART CONTAINER,0,,http://echo.epa.gov/detailed-facility-report?fid=110017748482,46.98539,-122.90105
6973,WESTMARK PRODUCTS,0,,http://echo.epa.gov/detailed-facility-report?fid=110012506537,47.149936,-122.467062
7316,RHINE DEMOLITION LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110055009985,47.152473,-122.411499
8745,MILES RESOURCES - LAKEVIEW FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110020498647,47.16323,-122.47411
10070,"SUMNER SAND & GRAVEL, LLC",0,,http://echo.epa.gov/detailed-facility-report?fid=110015544017,47.2215,-122.227
10142,JAMES HARDIE BUILDING PRODUCTS,0,,http://echo.epa.gov/detailed-facility-report?fid=110005392556,47.091503,-122.364795
