,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
31946,BUCKHORN MOUNTAIN MINE,13,5.0,http://echo.epa.gov/detailed-facility-report?fid=110032827145,48.949506,-118.98159
7733,KENNEWICK WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110040118388,46.208883,-119.100026
32214,YAKIMA REGIONAL WASTEWATER FACILITY,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009513160,46.579403000000006,-120.46983
28073,PORT OF SUNNYSIDE INDUSTRIAL WWTF,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015474789,46.291666,-120.012234
56,CLIFF VANBELLE FARM,13,,http://echo.epa.gov/detailed-facility-report?fid=110054907473,46.346649,-119.954203
129,GRAND COULEE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110013039014,47.946523,-118.994544
794,CONAGRA FOODS LAMB WESTON RICHLAND,13,,http://echo.epa.gov/detailed-facility-report?fid=110000491682,46.309388,-119.297683
1233,EL ORO CATTLE FEEDERS,13,,http://echo.epa.gov/detailed-facility-report?fid=110010896904,47.049423,-119.094758
1240,POWELL CHRISTENSEN INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110015567411,46.25716,-119.904808
1412,STE MICHELLE WINE ESTATES GRANDVIEW,13,,http://echo.epa.gov/detailed-facility-report?fid=110011632536,46.25123,-119.903647
2120,QUINCY FOODS,13,,http://echo.epa.gov/detailed-facility-report?fid=110005365130,47.238056,-119.823059
2474,FARWEST FABRICATORS,13,,http://echo.epa.gov/detailed-facility-report?fid=110015560882,46.563889,-120.396942
2498,FAITH FRONTIER MINISTRIES,13,,http://echo.epa.gov/detailed-facility-report?fid=110009764219,48.11171,-119.264048
3275,AGRIUM KFO FINLEY AREA,13,,http://echo.epa.gov/detailed-facility-report?fid=110009765218,46.155727,-119.010188
3834,ZOSEL LUMBER CO,13,,http://echo.epa.gov/detailed-facility-report?fid=110054917079,48.932995,-119.42202
4701,LAYMAN LUMBER CO INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110013963620,46.73111,-120.71111299999998
5177,PASCO WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110005394233,46.222213,-119.084842
5442,YAKAMA LEGENDS CASINO HOTEL,13,,http://echo.epa.gov/detailed-facility-report?fid=110039581976,46.373412,-120.340601
5761,COULEE CATTLE FEEDERS,13,,http://echo.epa.gov/detailed-facility-report?fid=110015532547,46.99891,-119.02832
6043,TSA YAKIMA AIR TERMINAL MCALLISTER FIELD,13,,http://echo.epa.gov/detailed-facility-report?fid=110005352947,46.57100000000001,-120.541
