,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
25335,USDOE HANFORD SITE,12,8.0,http://echo.epa.gov/detailed-facility-report?fid=110070525933,46.7011,-119.4829
34179,GRAND COULEE DAM USBOR,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006517796,47.958088,-118.982213
17887,AREVA NP,9,,http://echo.epa.gov/detailed-facility-report?fid=110000491673,46.347639,-119.301267
5732,STEPHENS METAL PRODUCTS,8,,http://echo.epa.gov/detailed-facility-report?fid=110070491320,46.57366500000001,-120.551559
20593,PERMA-FIX NORTHWEST RICHLAND,7,3.0,http://echo.epa.gov/detailed-facility-report?fid=110008062452,46.342047,-119.296889
3200,LP BODY SHOP INC,6,,http://echo.epa.gov/detailed-facility-report?fid=110005339892,46.5888,-120.49588
10170,COX ANALYTICAL LLC DBA KUO TESTING LABS,6,,http://echo.epa.gov/detailed-facility-report?fid=110045492230,46.822735,-119.173996
29945,MOSES LAKE INDUSTRIES,6,,http://echo.epa.gov/detailed-facility-report?fid=110011580093,47.202776,-119.29322
734,ENERGY NORTHWEST COLUMBIA GENERATING STATION,4,,http://echo.epa.gov/detailed-facility-report?fid=110000828436,46.471562,-119.334633
35729,GBW RAILCAR SERVICES,4,,http://echo.epa.gov/detailed-facility-report?fid=110006460695,46.158521,-119.022725
2474,FARWEST FABRICATORS,3,,http://echo.epa.gov/detailed-facility-report?fid=110015560882,46.563889,-120.396942
17517,INTEGRATED ENVIRONMENTAL TECHNOLOGIES LL,3,,http://echo.epa.gov/detailed-facility-report?fid=110005395740,46.30111,-119.29834
29093,MARQ PACKAGING INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000896905,46.57485,-120.56032
31464,JOYSON SAFETY SYSTEMS,3,,http://echo.epa.gov/detailed-facility-report?fid=110000491174,47.219058,-119.303069
34537,STRIPE RITE YAKIMA,3,,http://echo.epa.gov/detailed-facility-report?fid=110070676968,46.60464,-120.46956000000002
11626,AMTECH YAKIMA DIVISION,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110020518028,46.461477,-120.427899
11861,SYNGENTA SEEDS,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043239965,46.274864,-119.096775
36679,AMERICAN MEDICAL RESPONSE YAKIMA,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070595880,46.597237,-120.509225
1257,VITERRA USA LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110045528336,46.964879,-119.061542
2681,KRONOS MICRONUTRIENTS,2,,http://echo.epa.gov/detailed-facility-report?fid=110000491254,46.559041,-120.391925
