,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
34410,PIERCE COUNTY RECYCLE COMPOSTING LANDFILL,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001920636,46.972405,-122.292799
28447,PENINSULA TRUCK LINES  AUBURN,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005311965,47.31403,-122.241875
29385,WESTRIDGE,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069218750,47.537067,-122.02701100000002
31126,ALCOA WENATCHEE WORKS,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000491156,47.3567,-120.1273
199,RODEO CITY RECYCLING & SALVAGE,13,,http://echo.epa.gov/detailed-facility-report?fid=110054924677,46.994725,-120.556433
391,GUNDIES OF GRAHAM LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110017742335,47.069199,-122.244003
516,COLUMBIA COLSTOR WENATCHEE,13,,http://echo.epa.gov/detailed-facility-report?fid=110020037510,47.430424,-120.312653
613,THE PASS PROJECT,13,,http://echo.epa.gov/detailed-facility-report?fid=110046096746,47.418523,-121.412725
853,SOUTH PRAIRIE STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009748862,47.137208,-122.102456
1199,WINDSOR PARK,13,,http://echo.epa.gov/detailed-facility-report?fid=110059811137,47.598067,-122.005999
1535,VOIGHTS CREEK STATE SALMON HATCHERY,13,,http://echo.epa.gov/detailed-facility-report?fid=110015462248,47.081016,-122.17667
1903,ENUMCLAW STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110039933908,47.188881,-122.004636
2218,WARD RUGH INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110005312223,47.000774,-120.560776
2569,WILBUR ELLIS CO WENATCHEE,13,,http://echo.epa.gov/detailed-facility-report?fid=110005322178,47.40669000000001,-120.29985
2817,R AND R HEIGHTS SITE MAINTENANCE,13,,http://echo.epa.gov/detailed-facility-report?fid=110054900158,47.235594,-121.016479
3353,CHELAN LOOKOUT,13,,http://echo.epa.gov/detailed-facility-report?fid=110055239148,47.844759,-120.041109
3663,YASHCO AZALEA SHORT PLAT,13,,http://echo.epa.gov/detailed-facility-report?fid=110070080754,47.374468,-122.19201499999998
3674,COFFMAN SHORT PLAT,13,,http://echo.epa.gov/detailed-facility-report?fid=110070080854,47.612892,-122.043721
4014,AIM 1502 BUILDING,13,,http://echo.epa.gov/detailed-facility-report?fid=110064547236,47.325038,-122.24673
4059,SONIC DRIVE IN KENT,13,,http://echo.epa.gov/detailed-facility-report?fid=110070081021,47.365009,-122.185867
