,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
2682,"APOGEE WAUSAU GROUP INC., LINETEC DIVISI",12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064146366,44.95495,-89.73145
35995,GREDE CASTINGS - BROWNTOWN DIVISION,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001921939,42.59557,-89.78676
13914,WRR ENVIRONMENTAL SERVICES CO INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110002044831,44.756796,-91.45635
17263,HYDRITE CHEMICAL CO. - COTTAGE GROVE EAST,12,,http://echo.epa.gov/detailed-facility-report?fid=110000419609,43.0777,-89.1976
32642,MID-AMERICA STEEL DRUM COMPANY-CLCM,12,,http://echo.epa.gov/detailed-facility-report?fid=110066857985,42.97218,-87.8797
37245,MALTEUROP NORTH AMERICA INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110001922689,43.00472,-87.96155
40209,MULLINS CHEESE FACTORY-300,12,,http://echo.epa.gov/detailed-facility-report?fid=110010884481,44.7178,-89.68299999999998
47633,MID-AMERICA STEEL DRUM CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110000417736,42.88879,-87.8625
7933,MILLER COMPRESSING CO,10,,http://echo.epa.gov/detailed-facility-report?fid=110000855931,43.02536,-87.93418
19718,GRAYMONT LIME PLANT,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007346229,46.731,-92.0765
47639,COUNTY MATERIALS CORP,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070060915,42.584198,-89.00970799999997
21047,MMSD-JONES ISLAND WASTEWATER TREATMENT PLANT,9,,http://echo.epa.gov/detailed-facility-report?fid=110013962514,43.01932,-87.8978
23687,HUSKY ENERGY - SUPERIOR REFINERY,9,,http://echo.epa.gov/detailed-facility-report?fid=110000422962,46.6915,-92.072
23440,GRAYMONT WESTERN LIME INC,8,,http://echo.epa.gov/detailed-facility-report?fid=110000421552,44.52438,-88.01261
39327,ECC CORROSION INC,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110030739422,44.40474,-89.76995
36746,CARMEUSE LIME & STONE MANITOWOC OPERATION,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110016858916,44.16799,-87.70028
20339,THILMANY PAPER MILL,6,,http://echo.epa.gov/detailed-facility-report?fid=110000420973,44.2829,-88.2518
45902,KERRY INC,6,,http://echo.epa.gov/detailed-facility-report?fid=110006146456,45.62192,-89.46739000000002
795,ADVANCED FIBER PRODUCTS (AFP),5,,http://echo.epa.gov/detailed-facility-report?fid=110022818138,43.876516,-91.161533
1100,RIVERSIDE ENERGY CENTER,5,,http://echo.epa.gov/detailed-facility-report?fid=110013294087,42.58442,-89.03671999999997
