,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
5816,VEOLIA ES TECHNICAL SOLUTIONS LLC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000416586,43.186141,-88.063507
23600,PIONEER METAL FINISHING,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110040939438,44.47574,-88.05344000000002
31123,"ALDRICH CHEMICAL COMPANY, LLC -TEUTONIA",12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000536625,43.12649,-87.95184
34624,QUALITY PAINT AND COATINGS,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005419270,43.97221,-88.62355
39217,ALDRICH CHEMICAL CO INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000419280,43.030459,-87.930634
47086,BEMIS WISCONSIN LLC - NEW LONDON,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000423532,44.38108,-88.72785999999998
43864,W M W I - METRO RECYCLING & DISPOSAL,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000620766,42.850388,-88.069672
1006,IRON HORSE RECYCLING,12,,http://echo.epa.gov/detailed-facility-report?fid=110070801795,44.897068,-88.305125
2670,CENTRAL WASTEWATER TREATMENT OF WISCONSIN LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110005450252,43.027739,-88.061075
2832,ADVANCED PLATING TECHNOLOGIES,12,,http://echo.epa.gov/detailed-facility-report?fid=110000742652,43.04848,-87.91660999999998
7699,GORDIE BOUCHER CHEVROLET,12,,http://echo.epa.gov/detailed-facility-report?fid=110005483020,43.37454,-87.89503
11744,FIBER TECH INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000417335,42.770137,-87.956786
13321,RECYCLING COMPLIANCE SPECIALISTS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110005544045,43.02814,-89.40143
13856,CONTAINER LIFE CYCLE MANAGEMENT LLC CORNELL ST,12,,http://echo.epa.gov/detailed-facility-report?fid=110070135972,43.10126,-87.94100999999998
13914,WRR ENVIRONMENTAL SERVICES CO INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110002044831,44.756796,-91.45635
25871,AMERICA'S BEST QUALITY COATINGS CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000418165,43.01397,-87.91009
26894,PDM BRIDGE LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000768009,44.95178,-89.68089
33484,CLCM ST FRANCIS,12,,http://echo.epa.gov/detailed-facility-report?fid=110033624610,42.97218,-87.8797
33642,TRADEBE TREATMENT AND RECYCLING OF WI LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000702464,43.15164,-87.98233
35632,MAYNARD STEEL CASTING CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110000418833,42.992876,-87.948197
