,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
35995,GREDE CASTINGS - BROWNTOWN DIVISION,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001921939,42.59557,-89.78676
17263,HYDRITE CHEMICAL CO. - COTTAGE GROVE EAST,12,,http://echo.epa.gov/detailed-facility-report?fid=110000419609,43.0777,-89.1976
47639,COUNTY MATERIALS CORP,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070060915,42.584198,-89.00970799999997
1100,RIVERSIDE ENERGY CENTER,5,,http://echo.epa.gov/detailed-facility-report?fid=110013294087,42.58442,-89.03671999999997
32832,STOUGHTON TRAILERS LLC - PLANTS 5&6,4,,http://echo.epa.gov/detailed-facility-report?fid=110000420054,42.90817,-89.20423000000002
18167,"UNIROYAL ENGINEERED PRODUCTS, LLC",2,,http://echo.epa.gov/detailed-facility-report?fid=110000420045,42.91499,-89.22159
24836,BME DEMETER RNG LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110043581371,43.2212,-89.47832
27055,GREDE LLC - REEDSBURG,2,,http://echo.epa.gov/detailed-facility-report?fid=110000420606,43.528049,-89.9996
32025,MCFARLANE MFG CO INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110043558101,43.26455,-89.72825
5806,GRANDE CHEESE CO,1,,http://echo.epa.gov/detailed-facility-report?fid=110002433215,42.593667,-89.5085
8005,MILWAUKEE VALVE CO PRAIRIE PRODUCTS DIV,1,,http://echo.epa.gov/detailed-facility-report?fid=110000419994,43.29959,-89.73185
9056,BADGER STATE ETHANOL INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110038166365,42.5949,-89.66691
10016,COATING PLACE INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110000420107,42.97862,-89.54222
22798,RAZOR COMPOSITES,1,,http://echo.epa.gov/detailed-facility-report?fid=110017841807,43.45041,-89.73149000000002
26957,PAN O GOLD,1,,http://echo.epa.gov/detailed-facility-report?fid=110014338868,43.20365,-89.19034
27081,STOUGHTON TRAILERS LLC - PLT 7,1,,http://echo.epa.gov/detailed-facility-report?fid=110000594054,42.7842,-89.274824
9866,MADISON METROPOLITAN SEWERAGE DISTRICT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005512276,43.034311,-89.346281
35612,CUMMINS EMISSION SOLUTIONS,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110061062754,42.9317,-89.2178
46418,SENECA FOODS CORP,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000420410,43.46223,-89.75513000000002
1107,USGS NATIONAL WILDLIFE HEALTH CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110009521080,43.04635,-89.48458000000002
