,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
32642,MID-AMERICA STEEL DRUM COMPANY-CLCM,12,,http://echo.epa.gov/detailed-facility-report?fid=110066857985,42.97218,-87.8797
37245,MALTEUROP NORTH AMERICA INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110001922689,43.00472,-87.96155
7933,MILLER COMPRESSING CO,10,,http://echo.epa.gov/detailed-facility-report?fid=110000855931,43.02536,-87.93418
21047,MMSD-JONES ISLAND WASTEWATER TREATMENT PLANT,9,,http://echo.epa.gov/detailed-facility-report?fid=110013962514,43.01932,-87.8978
36842,JOY GLOBAL SURFACE MINING INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110000418156,43.02094,-87.96818
10874,ATI LADISH FORGING,1,,http://echo.epa.gov/detailed-facility-report?fid=110000417228,42.947167,-87.8615
33500,REXNORD INDUSTRIES LLC GEAR GROUP,1,,http://echo.epa.gov/detailed-facility-report?fid=110000418502,43.0293,-87.9518
37538,U S VENTURE INC MILWAUKEE SOUTH TERMINAL,1,,http://echo.epa.gov/detailed-facility-report?fid=110005421506,43.18453,-88.04557
158,LAWRAN FOUNDRY CO.,0,,http://echo.epa.gov/detailed-facility-report?fid=110001130829,43.00856,-87.97326
323,ROCK TENN CONVERTING COMPANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110000418646,43.09777,-87.93503
1826,SUPER STEEL LLC - TOWER,0,,http://echo.epa.gov/detailed-facility-report?fid=110000534645,43.16517,-88.0078
2788,DOWNTOWN AUTO BODY SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110044955885,43.080651,-87.905063
4566,ELITE FINISHING LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110002120972,42.98476,-87.91435
5147,MID-AMERICA STEEL DRUM COMPANY INC /KITZINGER,0,,http://echo.epa.gov/detailed-facility-report?fid=110000418405,42.97184,-87.8774
5235,C&D TECHNOLOGIES STANDBY POWER DIVISION-KEEFE FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110000494304,43.08199000000001,-87.89911
5544,BRADY U S A INC - GOOD HOPE RD FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110009519547,43.1472,-87.99202
5591,WI DOA / UW-MILWAUKEE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001922858,43.078689,-87.87782299999998
5926,SEIDEL TANNING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110000494313,43.062,-87.89519
6931,DON'S AUTO SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110005438801,43.10474,-87.98165
7962,CATERPILLAR GLOBAL MINING,0,,http://echo.epa.gov/detailed-facility-report?fid=110000417825,42.91075,-87.86307
