,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
16400,STOCKBRIDGE-MUNSEE INDIAN TR,13,,http://echo.epa.gov/detailed-facility-report?fid=110010885970,43.12833300000001,-87.935
41541,MILWAUKEE METRO SEW DIST COMBI,10,,http://echo.epa.gov/detailed-facility-report?fid=110002051421,43.03093,-87.91458
36000,"DRS TECHNOLOGIES, INC.",6,,http://echo.epa.gov/detailed-facility-report?fid=110000418860,43.094561,-87.95052700000002
35676,SOUTH MILWAUKEE WASTEWATER TRE,5,,http://echo.epa.gov/detailed-facility-report?fid=110002321201,42.90061,-87.85209
27748,BADGER METER INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000418995,43.1779,-87.96739000000002
5235,C&D TECHNOLOGIES STANDBY POWER DIVISION-KEEFE FACILITY,2,,http://echo.epa.gov/detailed-facility-report?fid=110000494304,43.08199000000001,-87.89911
35717,MOLSON COORS USA LLC - MILWAUKEE BREWERY,2,,http://echo.epa.gov/detailed-facility-report?fid=110000418174,43.04212,-87.96307
646,ACME GALVANIZING INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110000418815,42.99432,-87.9372
1906,HERCULES INCORPORATED,0,,http://echo.epa.gov/detailed-facility-report?fid=110000418575,43.11334,-87.96389
5417,MILWAUKEE METRO SEW DIST COMBI,0,,http://echo.epa.gov/detailed-facility-report?fid=110070001838,43.03106,-87.91456
7933,MILLER COMPRESSING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110000855931,43.02536,-87.93418
10874,ATI LADISH FORGING,0,,http://echo.epa.gov/detailed-facility-report?fid=110000417228,42.947167,-87.8615
11010,WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES-VALLEY STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110000419299,43.030372,-87.919832
15558,CLARIOS LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110002035538,43.1246,-87.93533000000002
15787,UNITED MILWAUKEE SCRAP,0,,http://echo.epa.gov/detailed-facility-report?fid=110039574886,43.08112,-87.95451
25835,GROVER CORPORATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110010885738,43.12123,-87.93134
26672,GREAT LAKES RESEARCH FACILITY,0,,http://echo.epa.gov/detailed-facility-report?fid=110000885686,43.01703,-87.90524
28293,RELIABLE PLATING WORKS-13TH STREET,0,,http://echo.epa.gov/detailed-facility-report?fid=110000418922,42.949595,-87.929356
35632,MAYNARD STEEL CASTING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110000418833,42.992876,-87.948197
36052,"UNITED MILWAUKEE SCRAP, LLC",0,,http://echo.epa.gov/detailed-facility-report?fid=110037238058,43.0731,-87.95465
