,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
26894,PDM BRIDGE LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000768009,44.95178,-89.68089
3779,R STRESAU LABORATORY INC,11,,http://echo.epa.gov/detailed-facility-report?fid=110009521703,45.93464,-91.94158
1077,SHERWIN-WILLIAMS PRODUCT FINISHES #1433,9,,http://echo.epa.gov/detailed-facility-report?fid=110044365736,44.95508,-89.73833
11900,SIEMENS INDUSTRY INC - ENVIROSCAN,9,,http://echo.epa.gov/detailed-facility-report?fid=110055083582,44.88006,-89.63545
38210,WAL-MART SUPERCENTER #1672,8,,http://echo.epa.gov/detailed-facility-report?fid=110005506416,46.60593,-90.85303
47149,SEMLING-MENKE CO INC,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043635509,45.17801,-89.67694
2729,PHILLIPS PLASTICS CORP - MEDFORD DIV,3,,http://echo.epa.gov/detailed-facility-report?fid=110000422025,45.12336,-90.34214
26989,CRYSTAL FINISHING SYSTEMS INC FACILITY 8,3,,http://echo.epa.gov/detailed-facility-report?fid=110005414863,44.87053,-92.61862
32609,CVS PHARMACY #10172,3,,http://echo.epa.gov/detailed-facility-report?fid=110056113263,44.96976,-89.6365
36734,CRYSTAL FINISHING SYSTEMS INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110001928175,44.91286,-89.59023
14613,"XACT TOOL, INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110070326133,45.72982,-91.92968
27589,WOODS EQUIPMENT COMPANY - CF DIVISION,2,,http://echo.epa.gov/detailed-facility-report?fid=110031286542,44.839325,-89.652879
28032,KOLBE & KOLBE MILLWORK CO INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110000421758,44.94315,-89.64902
28360,MARSHFIELD CLINIC - MARSHFIELD LABORATORIES,2,,http://echo.epa.gov/detailed-facility-report?fid=110070634994,44.67888,-90.15999
44270,SAMUEL SON & CO USA INC - TOMAHAWK,2,,http://echo.epa.gov/detailed-facility-report?fid=110000422276,45.484403,-89.74462700000002
45090,MASTERCRAFT INDUSTRIES INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110000422935,45.49411,-91.73813
48338,HARLEY-DAVIDSON TOMAHAWK KAPHAEM FACILITY,2,,http://echo.epa.gov/detailed-facility-report?fid=110012180488,45.46304,-89.69782
50573,ARCLIN SURFACES,2,,http://echo.epa.gov/detailed-facility-report?fid=110002034995,46.00768,-91.4861
2682,"APOGEE WAUSAU GROUP INC., LINETEC DIVISI",1,,http://echo.epa.gov/detailed-facility-report?fid=110064146366,44.95495,-89.73145
4672,IMPERIAL INDUSTRIES INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110000768081,44.86202,-89.63016999999998
