,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
38127,MENOMINEE TRIBAL ENTERPRISES SAWMILL,12,,http://echo.epa.gov/detailed-facility-report?fid=110010885453,44.982138,-88.82985
9304,WHITE CLOVER DAIRY INC HOLLAND,11,,http://echo.epa.gov/detailed-facility-report?fid=110000420991,44.2489,-88.17347
21461,NICHOLS WASTEWATER TREATMENT F,10,,http://echo.epa.gov/detailed-facility-report?fid=110010890018,44.564667,-88.481778
23367,BELGIOIOSO CHEESE INC DENMARK,8,,http://echo.epa.gov/detailed-facility-report?fid=110020518956,44.3618,-87.8179
34882,TYCO FIRE SUPPRESSION & BUILDING PRODUCTS,8,,http://echo.epa.gov/detailed-facility-report?fid=110056962032,45.09713,-87.61406
49860,BELGIOIOSO CHEESE INC SHERWOOD PLANT,8,,http://echo.epa.gov/detailed-facility-report?fid=110000594321,44.206556,-88.28875
1992,WAUPACA WASTEWATER TREATMENT FACILITY,7,,http://echo.epa.gov/detailed-facility-report?fid=110010886997,44.35469000000001,-89.07486
33628,DENMARK WASTEWATER TREATMENT FACILITY,7,,http://echo.epa.gov/detailed-facility-report?fid=110010888913,44.35075,-87.81235
8342,WAUSAUKEE WASTEWATER TREATMENT FACILITY,6,,http://echo.epa.gov/detailed-facility-report?fid=110010884427,45.377056,-87.87647199999998
10969,WEYAUWEGA WASTEWATER TREATMENT FACILITY,6,,http://echo.epa.gov/detailed-facility-report?fid=110008239520,44.32605,-88.93195
24878,SHERWOOD WASTEWATER TREATMENT FACILITY,6,,http://echo.epa.gov/detailed-facility-report?fid=110010886586,44.17425,-88.242389
29811,BELGIOIOSO CHEESE INC,6,,http://echo.epa.gov/detailed-facility-report?fid=110016893290,44.67555,-88.15131
39800,PESHTIGO CITY WWTF,6,,http://echo.epa.gov/detailed-facility-report?fid=110039972063,45.028083,-87.731278
43220,LENA WASTEWATER TREATMENT FACILITY,6,,http://echo.epa.gov/detailed-facility-report?fid=110010883918,44.954892,-88.05024499999998
2249,STEPHENSVILLE SD 1 WW TRTMNT F,5,,http://echo.epa.gov/detailed-facility-report?fid=110010886381,44.371583,-88.5885
4018,SAPUTO CHEESE USA INC.- LENA,5,,http://echo.epa.gov/detailed-facility-report?fid=110054818006,44.95421,-88.04672
12254,WRIGHTSTOWN SAN DIST NO 1,5,,http://echo.epa.gov/detailed-facility-report?fid=110010888726,44.31484,-88.09185
22022,POTTER SD WASTEWATER TRTMNT FA,5,,http://echo.epa.gov/detailed-facility-report?fid=110010887219,44.118917,-88.088278
32357,OCONTO FALLS TISSUE INCORPORATED,5,,http://echo.epa.gov/detailed-facility-report?fid=110000421151,44.873593,-88.14389
38042,APPLETON COATED L.L.C. LOCKS MILL,5,,http://echo.epa.gov/detailed-facility-report?fid=110017419523,44.269643,-88.308421
