,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
3557,CITY OF ELKINS WATER SYSTEM IMPROVEMENTS,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110063708616,38.927839,-79.837565
1048,MARTINSBURG CITY OF WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007872533,39.45439,-77.96115999999998
3949,OH/ INW/ BH/ NE 001-004,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015983328,39.42235,-77.93173
4377,WOODS II SUBDIVISION (BCPSSD),13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010858991,39.562896,-78.081125
4874,MT ZION PSD,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010852853,38.7834,-81.1415
5327,CALHOUN MIDDLE/HIGH SCHOOL,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110021430959,38.839788,-81.114035
6481,"FRANKLIN, MUNICIPALITY OF",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010866483,38.64488,-79.32939
8350,MIDWAY MOBILE HOME PARK,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010878470,39.584012,-77.862471
15042,CANAAN VALLEY RESORT STATE PARK,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010860513,38.33546,-81.6129
21159,BUFFALO RUN MHP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010878238,39.371131,-78.726128
23301,REEDS CREEK HATCHERY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010858946,38.741441,-79.34585
26459,THE GALLERY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063717508,39.445328,-78.00280500000002
27123,"APPLIED PARTNERS, INC., RAVENSWOOD",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110032631267,38.9309,-81.8229
28360,HUTTONSVILLE PSD,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010860443,38.73112,-79.96818
730,REEDY TOWN OF,13,,http://echo.epa.gov/detailed-facility-report?fid=110010865091,38.902842,-81.419816
809,TRANSTECH LOGISTICS,13,,http://echo.epa.gov/detailed-facility-report?fid=110007873195,38.386439,-81.798996
1947,SPURGEON TRUCKING,13,,http://echo.epa.gov/detailed-facility-report?fid=110046600068,39.505327,-77.93530200000002
2254,HUTTONSVILLE CORRECTIONAL CTR,13,,http://echo.epa.gov/detailed-facility-report?fid=110007883308,38.690843,-79.984771
2830,KINCAID ENTERPRISES INC.,13,,http://echo.epa.gov/detailed-facility-report?fid=110000868035,38.42782800000001,-81.842609
4097,KANAWHA PUBLIC SERVICE DISTRICT,13,,http://echo.epa.gov/detailed-facility-report?fid=110010865313,38.19579,-81.50023
