,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
29015,AMERICAN ALLOYS  INC,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007875549,38.958298,-81.926803
8753,SWVA INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110056972370,38.425484,-82.433269
2080,EASTERN ASSOC COAL CORP,1,,http://echo.epa.gov/detailed-facility-report?fid=110007875219,37.848333,-81.625
6632,"BANDMILL COAL LLC, BANDMILL PREP PLANT",1,,http://echo.epa.gov/detailed-facility-report?fid=110006858855,37.814167,-81.906667
27807,HUNTINGTON ALLOYS CORP (PART),1,,http://echo.epa.gov/detailed-facility-report?fid=110000344547,38.41435300000001,-82.384179
37197,"DOCK'S CREEK LLC, KENOVA",1,,http://echo.epa.gov/detailed-facility-report?fid=110043570873,38.345,-82.581389
197,"CORE APPALACHIA MIDSTREAM LLC, STAFFORD",0,,http://echo.epa.gov/detailed-facility-report?fid=110046386102,37.55443,-81.87263
241,"WILSON CLEANERS, DRY CLEANING FACILITY",0,,http://echo.epa.gov/detailed-facility-report?fid=110001932534,37.857906,-81.993723
350,"SPRING CREEK ENERGY, LLC, ROCKCAMP MINE",0,,http://echo.epa.gov/detailed-facility-report?fid=110063232586,38.275397,-80.911895
419,"COPPER RIDGE LANDFILL, LLC, COPPER RIDGE LANDFILL",0,,http://echo.epa.gov/detailed-facility-report?fid=110037606677,37.481448,-81.600043
1006,SMR TECHNOLOGIES INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110000586090,38.228333,-80.58416700000002
1071,"HYPAR MACHINE COMPANY,  RICHWOOD",0,,http://echo.epa.gov/detailed-facility-report?fid=110001932730,38.22219000000001,-80.53468000000002
1094,"APOGEE COAL COMPANY LLC, SELENIUM TREATMENT",0,,http://echo.epa.gov/detailed-facility-report?fid=110069993221,37.810804,-81.880527
1444,"COAL-MAC LLC, HOLDEN 22",0,,http://echo.epa.gov/detailed-facility-report?fid=110010442896,37.749444,-82.082778
1449,"ALLIANCE PETROLEUM CORPORATION, BERWIND MAIN STATION",0,,http://echo.epa.gov/detailed-facility-report?fid=110063722556,37.542025,-81.614933
1490,"CRANBERRY PIPELINE CORPORATION,  WAYNE/EDDS BRANCH",0,,http://echo.epa.gov/detailed-facility-report?fid=110013338361,38.17653,-82.412376
1506,MULLICAN FLOORING,0,,http://echo.epa.gov/detailed-facility-report?fid=110001930439,37.745858,-80.463389
2007,"BLUESTONE COAL CORPORATION,  BISHOP",0,,http://echo.epa.gov/detailed-facility-report?fid=110054890463,37.211366,-81.566947
2083,"LEXINGTON COAL COMPANY, LLC, SPROUSE CREEK PLANT",0,,http://echo.epa.gov/detailed-facility-report?fid=110012816453,37.650062,-82.187343
2185,"MID-VOL COAL SALES, INC.,  ECKMAN LOADOUT",0,,http://echo.epa.gov/detailed-facility-report?fid=110063225601,37.400093,-81.460966
