,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
27807,HUNTINGTON ALLOYS CORP (PART),8,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000344547,38.41435300000001,-82.384179
9154,BRAKE SUPPLY,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070640139,37.368586,-81.041455
2828,ZIMS BAGGING CO INC,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070636551,38.269244,-82.571586
18338,ALCON ADVANCED OPTIC DEVICE CENTER (AODC) SOUTH,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000344486,38.46022,-82.3081
29257,ENGINES INC PLANT 2,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070640204,38.45958,-82.30516999999998
5257,DRENNEN'S RESTORATIONS,4,,http://echo.epa.gov/detailed-facility-report?fid=110070636918,37.981921,-80.716148
8753,SWVA INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110056972370,38.425484,-82.433269
12267,PLUMLEY'S BODY SHOP,4,,http://echo.epa.gov/detailed-facility-report?fid=110070677002,37.859211,-81.218301
33116,THE SIGN SHOP,4,,http://echo.epa.gov/detailed-facility-report?fid=110070643583,37.36772,-81.07638
7130,IND PLAT. & MACHINE,3,3.0,http://echo.epa.gov/detailed-facility-report?fid=110010875106,37.36812000000001,-81.0879
14716,UNIVERSAL SANDBLASTING & PAINTING INC.,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070641395,37.8273,-81.1519
18845,PRODUCTION EFFICIENCY CORP,3,,http://echo.epa.gov/detailed-facility-report?fid=110070635982,37.69965,-82.12549
37863,MARATHON PETROLEUM CO - KENOVA WV TERMINAL,3,,http://echo.epa.gov/detailed-facility-report?fid=110043670319,38.4058,-82.5895
1071,"HYPAR MACHINE COMPANY,  RICHWOOD",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001932730,38.22219000000001,-80.53468000000002
2368,JOYCE CUSTOM CARS,2,,http://echo.epa.gov/detailed-facility-report?fid=110070649420,37.592996,-81.829031
2456,DANNYS BODY SHOP,2,,http://echo.epa.gov/detailed-facility-report?fid=110070641320,38.1097,-81.995766
2593,PACE ANALYTICAL SERVICES,2,,http://echo.epa.gov/detailed-facility-report?fid=110070644713,37.787494,-81.116456
2594,"PRINCETON MACHINERY SERVICES, INC.,  PRINCETON",2,,http://echo.epa.gov/detailed-facility-report?fid=110007879554,37.36781,-81.07385
4955,CSX TRANSPORTATION INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110007874167,38.41927,-82.4179
7125,SULZER - STURM RAPID RESPONSE CENTER,2,,http://echo.epa.gov/detailed-facility-report?fid=110070639744,38.408469,-82.288124
